entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_adx,entry_reason,exit_time
371.79,371.79,378.88,7.09,2.0,1.39,200.0,508.52,-200.0,-61.33,-30.7,BARS_STOP,10,7,AVGO,2025-12-12 14:45:00+00:00,4.72,18.4,371.79,392.76,-0.9628,20.1,"RSI=18.4, Close=$371.79 < KC_Lower=$392.76",2025-12-12 17:15:00+00:00
357.12,357.12,361.42,4.3,1.4,4.18,139.82,290.41,-139.82,277.91,198.8,MAX_PROFIT,1,7,AVGO,2025-12-12 20:30:00+00:00,2.87,24.7,357.12,359.29,-0.8453,50.3,"RSI=24.7, Close=$357.12 < KC_Lower=$359.29",2025-12-12 20:45:00+00:00
351.93,351.93,357.08,5.15,1.67,1.2,167.36,347.6,-167.36,-47.51,-28.4,BARS_STOP,10,3,AVGO,2025-12-15 14:45:00+00:00,3.43,24.8,351.9,355.87,-0.7636,50.3,"RSI=24.8, Close=$351.90 < KC_Lower=$355.87",2025-12-15 17:15:00+00:00
341.08,341.08,345.04,3.96,1.29,0.76,128.82,267.56,-128.82,-53.03,-41.2,BARS_STOP,10,3,AVGO,2025-12-15 18:00:00+00:00,2.64,21.5,341.29,343.77,-0.8173,57.3,"RSI=21.5, Close=$341.29 < KC_Lower=$343.77",2025-12-15 20:30:00+00:00
143.66,143.66,146.46,2.8,0.91,3.13,91.07,189.15,-91.07,189.15,207.7,MAX_PROFIT,1,9,ANET,2025-11-05 15:30:00+00:00,1.87,18.1,143.62,147.02,-0.8949,35.8,"RSI=18.1, Close=$143.62 < KC_Lower=$147.02",2025-11-05 15:45:00+00:00
144.27,144.27,146.99,2.72,0.89,0.87,88.51,183.82,-88.51,-1.91,-2.2,BARS_STOP,10,9,ANET,2025-11-05 16:00:00+00:00,1.82,24.2,144.37,146.01,-0.6248,38.0,"RSI=24.2, Close=$144.37 < KC_Lower=$146.01",2025-11-05 18:30:00+00:00
138.01,138.01,140.22,2.21,0.72,0.7,71.67,148.85,-71.67,-1.74,-2.4,BARS_STOP,10,8,ANET,2025-11-06 14:45:00+00:00,1.47,22.9,137.84,139.71,-0.3415,47.6,"RSI=22.9, Close=$137.84 < KC_Lower=$139.71",2025-11-06 17:15:00+00:00
127.69,127.69,128.91,1.22,0.4,0.37,39.57,82.18,-39.57,-2.62,-6.6,BARS_STOP,10,3,ANET,2025-11-17 18:00:00+00:00,0.81,22.9,127.68,128.37,-0.2234,38.3,"RSI=22.9, Close=$127.68 < KC_Lower=$128.37",2025-11-17 20:30:00+00:00
162.04,162.04,163.03,0.99,0.32,0.86,32.17,66.8,-32.17,53.87,167.5,BARS_STOP,10,3,BABA,2025-11-11 16:00:00+00:00,0.66,24.7,162.04,163.02,-0.2164,25.6,"RSI=24.7, Close=$162.04 < KC_Lower=$163.02",2025-11-11 18:30:00+00:00
158.07,158.07,159.16,1.09,0.35,0.35,35.31,73.34,-35.31,-0.76,-2.2,BARS_STOP,10,9,BABA,2025-11-12 14:45:00+00:00,0.72,17.9,158.12,160.16,-0.2209,28.8,"RSI=17.9, Close=$158.12 < KC_Lower=$160.16",2025-11-12 17:15:00+00:00
241.7,241.7,243.06,1.36,0.44,1.8,44.13,91.66,-44.13,91.66,207.7,MAX_PROFIT,1,3,ACN,2025-11-17 15:00:00+00:00,0.91,23.6,241.66,243.86,-0.2907,31.9,"RSI=23.6, Close=$241.66 < KC_Lower=$243.86",2025-11-17 15:15:00+00:00
245.27,245.27,246.62,1.35,0.44,1.79,43.93,91.24,-43.93,91.24,207.7,MAX_PROFIT,1,3,ACN,2025-11-25 14:30:00+00:00,0.9,24.0,243.61,245.63,-0.261,28.7,"RSI=24.0, Close=$243.61 < KC_Lower=$245.63",2025-11-25 14:45:00+00:00
281.31,281.31,282.58,1.26,0.41,0.18,40.99,85.14,-40.99,-23.24,-56.7,BARS_STOP,10,8,AAPL,2025-12-04 15:00:00+00:00,0.84,19.7,281.43,283.0,-0.2295,32.1,"RSI=19.7, Close=$281.43 < KC_Lower=$283.00",2025-12-04 17:30:00+00:00
