date,wins,losses,net_pnl,trades,max_capital
2025-11-26,1,0,18.104984941752036,1,1904.84
2025-12-02,0,2,-15.194224488082966,2,3896.83
2025-12-03,1,0,17.804201933263926,1,1854.3999999999999
2025-12-04,1,1,-0.7568440872225324,2,1924.6499999999996
2025-12-08,4,4,-17.745999817222184,8,4436.280000000001
2025-12-09,2,2,30.08350650056684,4,3913.6450000000004
2025-12-10,1,0,9.729175890963347,1,1949.4900000000005
2025-12-11,1,0,55.054174201112914,1,1967.5200000000002
2025-12-12,6,4,40.6092718966591,10,15229.135
2025-12-15,2,0,21.8781141177854,2,2386.2899999999995
2025-12-16,2,0,14.880317828509362,2,1751.5599999999995
