date,wins,losses,net_pnl,trades,max_capital
2025-11-26,1,0,30.174974902920212,1,1904.84
2025-12-02,0,2,-15.194224488082966,2,3896.83
2025-12-03,1,0,29.673669888773304,1,1854.3999999999999
2025-12-04,1,1,5.33107456965223,2,1924.6499999999996
2025-12-08,4,4,6.79242640161516,8,5606.92
2025-12-09,2,2,14.661157924901318,4,5725.525000000001
2025-12-10,0,1,-9.729175890963347,1,1949.4900000000005
2025-12-11,1,0,88.80000000000007,1,1967.5200000000002
2025-12-12,1,9,-193.09761752767977,10,15229.135
2025-12-15,2,0,36.463523529642316,2,2386.2899999999995
2025-12-16,1,1,8.315513872898407,2,1751.5599999999995
