Ticker,Price,Volume,DollarVol,ATR,ATR%
GEOS,12.824999809265137,290317.05,3723316.110876417,2.3924998555864607,18.654969911641263
KZIA,9.645000457763672,1887973.1,18209501.4137455,1.7364285673413957,18.0034057535339
SKIL,8.135000228881836,132734.7,1079796.814880562,1.3570713996887207,16.68188520598544
SPRB,91.0,184197.7,16761990.700000001,14.58692877633231,16.02959206190364
FBYD,20.5049991607666,86273.35,1769034.9693465235,2.9626429421561107,14.448393384110478
VRCA,6.432000160217285,352174.3,2265185.15402441,0.9085643802370343,14.125689639384916
SGML,10.369999885559082,9627785.55,99840135.05168739,1.458214282989502,14.061854378804409
TLRY,7.78000020980835,4629799.05,36019837.58037049,1.0488428388323103,13.4812700584509
BNR,20.28499984741211,54916.6,1113983.2226203918,2.5848569869995117,12.742701535338089
HUT,37.92499923706055,7683984.95,291415123.36633474,4.759214265005929,12.549016112715423
EOSE,13.1899995803833,26613096.5,351026731.6677003,1.586428506033761,12.027509905255505
DPRO,7.0,1937102.95,13559720.65,0.7777142524719238,11.110203606741768
LVLU,5.257500171661377,243536.35,1280392.4019307853,0.5649999891008649,10.746551985795259
BODI,9.90999984741211,626414.8,6207770.572416687,1.0617713928222656,10.714141363983329
EGAN,9.899999618530273,570977.9,5652680.992189216,1.0442859785897392,10.548343624530068
SMR,18.90999984741211,23384916.7,442208771.22874486,1.980628422328404,10.473973761556952
CIFR,18.87929916381836,47593649.75,898534751.9282389,1.9753573281424386,10.463086108239414
KYTX,6.670000076293945,616191.5,4109997.3520116806,0.6856428895677839,10.279503474140107
AXTI,12.029999732971191,3500670.15,42113060.96972022,1.2042858941214425,10.010689283897479
ENGN,7.980000019073486,3285759.25,26220358.877670884,0.7870000089917865,9.862155477578066
SMLR,20.607500076293945,578651.6,11924562.891147614,2.0253282274518694,9.828112191937958
BTDR,12.859999656677246,9924325.15,127626818.02175337,1.2582142012459892,9.783936507282034
WULF,14.800000190734863,44064164.45,652149642.2645724,1.4392855507986886,9.72490224493182
SEAT,7.440000057220459,151780.85,1129249.53268497,0.717928579875401,9.649577612283178
XYF,6.724999904632568,238142.1,1601505.5997889997,0.6471429211752755,9.622943202266606
LPTH,7.909999847412109,1279820.8,10123382.332714844,0.7457142898014614,9.427488042815
ATLX,5.324999809265137,532555.35,2835857.137173128,0.5009285722460065,9.407109674904119
IDR,37.97999954223633,439836.7,16704997.664658738,3.566221373421805,9.389735166942078
IONQ,47.32460021972656,23810362.5,1126815886.399269,4.3937852042061945,9.28435778391364
SGMT,6.377399921417236,484267.95,3088370.3862748863,0.5916428906576974,9.277180323454104
RGC,12.34000015258789,133969.7,1653186.118442154,1.142571313040597,9.259086701072544
GSIT,6.206399917602539,1139234.35,7070543.975969982,0.5714285033089774,9.207084797876087
LITE,308.8900146484375,5805970.75,1793406390.0158997,28.05999210902623,9.084136999689889
CLSK,14.385000228881836,36897161.15,530765671.58783996,1.3028787204197474,9.057203334650358
VTYX,8.239999771118164,1922673.7,15842830.847934913,0.7430714198521206,9.017857287528615
ASTS,55.4900016784668,9058454.3,502653644.3113148,4.948778969900949,8.918325500468221
ONEW,11.609999656677246,209198.65,2428796.254677343,1.021071434020996,8.794758520373843
DMAC,7.869999885559082,519243.0,4086442.3505773544,0.6888712474278041,8.753129065374402
JFIN,6.75,264740.55,1786998.7125,0.5869285038539341,8.695237094132358
KOD,22.415000915527344,731167.05,16389110.095153429,1.947849954877581,8.689939216233821
PRE,13.670000076293945,135130.6,1847235.3123096467,1.1777144840785436,8.615321708160751
BHVN,8.989999771118164,6335722.3,56958142.02686825,0.7553571292332241,8.402192975131454
OWLT,13.045000076293945,233708.05,3048721.530080509,1.0917142459324427,8.368832806037025
SQNS,6.119900226593018,331622.35,2029495.6949083088,0.5035713740757534,8.228424572798867
CDZI,5.315000057220459,1200251.8,6379338.385678959,0.4335714748927525,8.15750649529614
PSFE,8.039999961853027,768745.85,6180716.604674673,0.6518571717398507,8.107676303889102
PHVS,24.350000381469727,324452.6,7900420.933768844,1.9697143009730749,8.089175647290837
CTKB,5.360000133514404,1886160.9,10109822.675829649,0.43164290700639996,8.05303910922449
KURA,11.109999656677246,1958181.6,21755396.903711703,0.8834998948233468,7.952294528581308
CRNC,11.015000343322754,2010624.35,22147027.90554309,0.8710000855582101,7.907399531641472
GAMB,5.525000095367432,1224996.7,6768106.884324789,0.43614281926836285,7.893987542806691
QS,12.130000114440918,26151738.35,317220589.178329,0.9486430031912667,7.82063474230223
RUN,18.363000869750977,9378380.5,172215209.2783556,1.434142793927874,7.809958754019938
OMER,9.664999961853027,1744424.8,16859865.625455476,0.749657256262643,7.756412407878733
INBX,80.8499984741211,282857.15,22869000.145894244,6.198926653180804,7.667194520931241
CCOI,20.34000015258789,2350316.6,47805440.002629854,1.5495021671063174,7.618004697552432
CMCL,23.8799991607666,243942.45,5825345.5012753485,1.7999281202043806,7.537387702934069
DMRC,7.929999828338623,156442.8,1240591.3771448135,0.5924999373299735,7.471626105370363
DQ,32.949798583984375,1271096.55,41882375.30329742,2.4485566275460378,7.431173278055139
LCID,12.845000267028809,9436025.15,121205745.57144056,0.953214304787772,7.420897508539026
SNBR,6.570000171661377,1009431.7,6631966.442280435,0.4870142936706543,7.4126983401204605
POWL,325.6643981933594,263785.6,85905578.6760742,24.056526635409085,7.386907125514472
STRL,333.4425048828125,897773.6,299355878.00166017,24.546423775809153,7.361516128375994
PCT,8.385000228881836,4722797.25,39600656.022212505,0.6032143660954067,7.193969584134967
