date,wins,losses,net_pnl,trades,max_capital
2025-11-24,1,2,3.4466961133324503,3,1181.77
2025-11-25,0,1,-4.49831711020903,1,510.01999999999987
2025-11-26,1,1,2.8377735184783432,2,1930.8799999999999
2025-12-01,0,3,-31.821037819391904,3,4420.199999999999
2025-12-02,1,3,-8.401703595242509,4,3896.829999999999
2025-12-03,4,0,69.803545041142,4,2405.2699999999986
2025-12-04,5,2,45.803432988012844,7,9244.249999999998
2025-12-05,1,0,10.625729092661686,1,1909.279999999999
2025-12-08,5,8,-28.597903422104068,13,6321.799999999999
2025-12-09,5,5,55.08243785978334,10,11742.595
2025-12-10,3,3,6.656883211731838,6,5528.804999999999
2025-12-11,9,0,246.15031366109525,9,13917.019999999999
2025-12-12,10,34,-462.43550620831104,44,27612.859999999993
2025-12-15,4,2,42.21169389559637,6,4343.189999999997
2025-12-16,6,3,71.57457553446912,9,6358.609999999997
