params,trades,net,win_rate,expectancy
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",106,435.69000000000005,36.79245283018868,4.110283018867925
"{'rsi_oversold': 25, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",87,423.21000000000004,50.57471264367817,4.8644827586206905
"{'rsi_oversold': 25, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",87,423.21000000000004,50.57471264367817,4.8644827586206905
"{'rsi_oversold': 25, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",87,423.21000000000004,50.57471264367817,4.8644827586206905
"{'rsi_oversold': 25, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",87,423.21000000000004,50.57471264367817,4.8644827586206905
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",89,413.8300000000001,41.57303370786517,4.6497752808988775
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 1.5, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",89,413.8300000000001,41.57303370786517,4.6497752808988775
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",86,401.29,51.162790697674424,4.666162790697674
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",86,401.29,51.162790697674424,4.666162790697674
"{'rsi_oversold': 25, 'keltner_mult': 1.5, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",108,397.79999999999995,30.555555555555557,3.683333333333333
"{'rsi_oversold': 25, 'keltner_mult': 2.0, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",108,397.79999999999995,30.555555555555557,3.683333333333333
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",106,372.0,30.18867924528302,3.509433962264151
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 1.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",106,372.0,30.18867924528302,3.509433962264151
"{'rsi_oversold': 25, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",86,296.65999999999997,44.18604651162791,3.4495348837209296
"{'rsi_oversold': 25, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",86,296.65999999999997,44.18604651162791,3.4495348837209296
"{'rsi_oversold': 25, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",86,296.65999999999997,44.18604651162791,3.4495348837209296
"{'rsi_oversold': 25, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",86,296.65999999999997,44.18604651162791,3.4495348837209296
"{'rsi_oversold': 25, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",86,278.11,44.18604651162791,3.2338372093023255
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",85,271.8,44.70588235294118,3.1976470588235295
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",85,271.8,44.70588235294118,3.1976470588235295
"{'rsi_oversold': 25, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",86,237.85,44.18604651162791,2.7656976744186044
"{'rsi_oversold': 25, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",86,196.06,44.18604651162791,2.279767441860465
"{'rsi_oversold': 25, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",86,196.06,44.18604651162791,2.279767441860465
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",85,171.20000000000002,44.70588235294118,2.0141176470588236
"{'rsi_oversold': 25, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",85,171.20000000000002,44.70588235294118,2.0141176470588236
