symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
ALB,15M_STK,143.86,3.54,12.62,0.0,True,True
SHOP,15M_STK,157.17,3.53,33.83,0.0,True,True
JBL,15M_STK,240.36,3.53,15.96,0.0,True,True
SHAK,15M_STK,83.5,3.51,6.16,0.0,True,True
GNRC,15M_STK,141.07,3.5,7.09,0.0,True,True
EAT,15M_STK,151.32,3.48,7.01,0.0,True,True
ASND,15M_STK,213.2,3.47,11.08,0.0,True,True
AEO,15M_STK,26.38,3.47,11.15,0.0,True,True
ORCL,15M_STK,195.72,3.46,139.04,0.0,True,True
RYTM,15M_STK,105.0,3.46,5.89,0.0,True,True
FLEX,15M_STK,63.65,3.45,18.94,0.0,True,True
AGI,15M_STK,38.38,3.43,5.29,0.0,True,True
PSTG,15M_STK,69.0,3.4,12.24,0.0,True,True
NCLH,15M_STK,22.77,3.4,17.01,0.0,True,True
AMD,15M_STK,223.37,3.39,140.19,0.0,True,True
Q,15M_STK,85.0,3.39,7.52,0.0,True,True
MRVL,15M_STK,89.36,3.38,51.34,0.0,True,True
AXSM,15M_STK,178.66,3.36,5.08,0.0,True,True
WING,15M_STK,256.57,3.32,12.64,0.0,True,True
BMRN,15M_STK,59.44,3.31,7.62,0.0,True,True
ANF,15M_STK,123.75,3.31,9.92,0.0,True,True
BOOT,15M_STK,186.78,3.31,5.86,0.0,True,True
NEM,15M_STK,101.23,3.29,30.22,0.0,True,True
FTAI,15M_STK,210.56,3.28,9.87,0.0,True,True
AXON,15M_STK,562.88,3.26,21.2,0.0,True,True
NKE,15M_STK,63.27,3.25,72.17,0.0,True,True
ENTG,15M_STK,89.52,3.24,11.16,0.0,True,True
BIDU,15M_STK,150.28,3.23,13.06,0.0,True,True
TER,15M_STK,207.51,3.17,17.42,0.0,True,True
AA,15M_STK,56.56,3.17,14.2,0.0,True,True
CCL,15M_STK,30.92,3.16,33.35,0.0,True,True
ROIV,15M_STK,21.92,3.15,11.31,0.0,True,True
AR,15M_STK,34.22,3.14,10.16,0.0,True,True
DKNG,15M_STK,35.67,3.12,22.52,0.0,True,True
HUBS,15M_STK,382.36,3.11,15.38,0.0,True,True
CELH,15M_STK,47.77,3.1,8.12,0.0,True,True
ROKU,15M_STK,108.7,3.1,12.57,0.0,True,True
MKSI,15M_STK,168.44,3.1,6.87,0.0,True,True
AEM,15M_STK,170.32,3.1,12.96,0.0,True,True
NVT,15M_STK,106.78,3.1,10.71,0.0,True,True
MNDY,15M_STK,143.45,3.06,7.4,0.0,True,True
MTSI,15M_STK,174.93,3.06,8.62,0.0,True,True
