symbol,price,atr_pct,dollar_vol
AAPL,276.9,0.2554373532462195,17088513.129826922
AMZN,229.57,0.3490797022115477,15554437.529769232
GOOGL,323.465,0.5697522972062187,20573092.075153846
META,636.22,0.31538058598106095,13723294.029326921
NVDA,177.8,0.6880961201508451,31725041.701384615
TSLA,419.42,0.5533071514620864,20350001.468884613
AMD,206.125,0.8149467705969193,13223316.356365383
