symbol,entry_date,entry_price,opt_cost,contracts,max_profit,max_loss,weeks_held,exit_date,exit_price,exit_opt_val,pnl,roi,reason
COIN,2023-06-12,52.529998779296875,2.626499938964844,1,0,0,1,2023-06-19,61.470001220703125,8.174851531982421,5.548351593017577,211.24506841619396,MeanRev
COIN,2023-10-30,72.05000305175781,3.602500152587891,1,0,0,1,2023-11-06,92.91999816894531,16.80774696350098,13.205246810913088,366.5578418206859,MeanRev
COIN,2024-07-15,229.3800048828125,11.469000244140625,1,0,0,1,2024-07-22,242.92999267578125,19.129592285156253,7.660592041015628,66.79389552658989,MeanRev
COIN,2024-08-05,162.00999450683594,8.100499725341797,1,0,0,7,2024-09-23,191.22999572753906,21.42315071105957,13.322650985717774,164.46702595444665,MeanRev
COIN,2024-09-30,184.19000244140625,9.209500122070313,1,0,0,2,2024-10-14,220.2100067138672,30.78060287475586,21.571102752685547,234.22664060768068,MeanRev
COIN,2024-11-04,180.08999633789062,9.004499816894532,1,0,0,1,2024-11-11,305.8500061035156,89.84805618286134,80.8435563659668,897.8128492410598,MeanRev
COIN,2025-02-24,239.13999938964844,11.956999969482423,1,0,0,5,2025-03-31,160.5500030517578,-39.85299049377442,-51.809990463256845,-433.30258924053106,SL_Stock
COIN,2025-04-07,146.0399932861328,7.301999664306641,1,0,0,2,2025-04-21,209.63999938964844,47.18160369873047,39.87960403442383,546.1463416570916,MeanRev
COIN,2025-04-28,208.1999969482422,10.40999984741211,1,0,0,2,2025-05-12,266.4599914550781,46.19699630737305,35.78699645996094,343.7751871711839,MeanRev
SHOP,2023-08-14,54.540000915527344,2.7270000457763675,1,0,0,2,2023-08-28,66.70999908447266,10.092098846435547,7.3650988006591795,270.08062622024494,MeanRev
SHOP,2023-09-25,52.709999084472656,2.635499954223633,1,0,0,5,2023-10-30,61.470001220703125,7.01175136566162,4.376251411437988,166.05014181178944,MeanRev
SHOP,2024-04-22,70.05000305175781,3.5025001525878907,1,0,0,1,2024-04-29,74.45999908447266,6.01874755859375,2.5162474060058595,71.8414645648675,MeanRev
SHOP,2024-05-13,59.06999969482422,2.953499984741211,1,0,0,4,2024-06-10,67.66000366210938,7.355602569580078,4.402102584838867,149.04698180401667,MeanRev
SHOP,2024-06-17,67.25,3.3625000000000003,1,0,0,1,2024-06-24,66.05000305175781,2.246251983642578,-1.1162480163574222,-33.19696702921702,MeanRev
SHOP,2024-07-01,65.95999908447266,3.297999954223633,1,0,0,4,2024-07-29,54.43000030517578,-4.867129440307619,-8.165129394531252,-247.57821430756715,SL_Stock
SHOP,2024-08-05,48.58599853515625,2.4292999267578126,1,0,0,1,2024-08-12,74.55000305175781,19.06297286987305,16.633672943115236,684.7105522007255,MeanRev
SHOP,2025-03-10,96.06999969482422,4.803499984741212,1,0,0,6,2025-04-21,97.12000274658203,2.6039019775390626,-2.199598007202149,-45.79156894325778,MeanRev
SHOP,2025-05-12,104.0,5.2,1,0,0,1,2025-05-19,101.51000213623047,3.061501388549805,-2.138498611450195,-41.12497329711914,MeanRev
CRWD,2023-02-20,112.0199966430664,5.60099983215332,1,0,0,1,2023-02-27,126.04000091552734,14.153902626037597,8.552902793884277,152.70314319213415,MeanRev
CRWD,2024-08-05,201.53500366210938,10.076750183105469,1,0,0,6,2024-09-16,299.8500061035156,67.93545166015625,57.85870147705078,574.1801714411441,MeanRev
CRWD,2024-09-30,284.0,14.200000000000001,1,0,0,1,2024-10-07,320.2099914550781,36.31649444580078,22.116494445800775,155.74996088592096,MeanRev
CRWD,2025-04-07,300.05999755859375,15.002999877929689,1,0,0,1,2025-04-14,375.6199951171875,62.61669830322265,47.61369842529296,317.36118651400886,MeanRev
CRWD,2025-09-01,417.1090087890625,20.855450439453126,1,0,0,2,2025-09-15,502.54998779296875,72.22099670410157,51.365546264648444,246.29315206483432,MeanRev
MPWR,2023-05-15,391.976576306158,19.5988288153079,1,0,0,1,2023-05-22,511.03326416015625,95.02579303887597,75.42696422356808,384.85444683640964,MeanRev
MPWR,2023-09-18,452.1269988761973,22.606349943809867,1,0,0,6,2023-10-30,485.5940246582031,30.796106735827713,8.189756792017846,36.22768298453412,MeanRev
MPWR,2024-11-18,568.4618259436346,28.42309129718173,1,0,0,9,2025-01-20,673.9828491210938,71.43097419506663,43.0078828978849,151.3131785990826,MeanRev
MPWR,2025-01-27,648.1731837488309,32.40865918744154,1,0,0,1,2025-02-03,715.5287475585938,72.94890974504328,40.54025055760174,125.09079849039608,MeanRev
MPWR,2025-04-07,463.29760288858256,23.16488014442913,1,0,0,2,2025-04-21,581.4578857421875,95.33608797038653,72.1712078259574,311.55441934506916,MeanRev
MU,2024-08-05,87.16750451985486,4.358375225992743,1,0,0,7,2024-09-23,106.93263244628906,14.154845719980056,9.796470493987313,224.773453087805,MeanRev
MU,2024-09-30,105.52013807454259,5.276006903727129,1,0,0,1,2024-10-07,106.35569763183594,5.291519925595094,0.01551302186796466,0.2940295975921828,MeanRev
MU,2025-01-06,95.296296477774,4.764814823888701,1,0,0,1,2025-01-13,105.44713592529297,10.886378982387157,6.121564158498456,128.47433499005265,MeanRev
MU,2025-02-03,88.39611171244539,4.41980558562227,1,0,0,1,2025-02-10,99.23497772216797,11.02308793337972,6.6032823477574505,149.40209970407025,MeanRev
MU,2025-03-03,95.53559987534899,4.77677999376745,1,0,0,1,2025-03-10,100.50135040283203,7.5268398372546805,2.7500598434872305,57.57141520177604,MeanRev
