SCAN SUMMARY:
  Total in scan: 553
  Current tickers: 78
  Already in list: 38
  NEW (delta): 515

NEW CANDIDATES (not in current list):
----------------------------------------------------------------------
Symbol    Price   SMA120    SMA22   ATR%  Vol($M)
----------------------------------------------------------------------
CFG    $  59.80 $  51.67 $  56.83  1.75% $ 17.68M
FDX    $ 295.81 $ 245.40 $ 280.34  1.88% $ 17.65M
NCLH   $  23.17 $  22.76 $  20.22  3.69% $ 17.40M
PCG    $  15.82 $  15.30 $  15.51  1.87% $ 17.05M
CDE    $  18.73 $  14.89 $  16.83  5.98% $ 16.89M
HL     $  19.82 $  11.58 $  17.86  5.98% $ 16.61M
JBL    $ 234.54 $ 214.75 $ 219.42  4.08% $ 16.59M
HWM    $ 212.10 $ 190.47 $ 198.88  2.52% $ 16.49M
NDAQ   $  98.67 $  91.09 $  92.22  1.53% $ 15.99M
EL     $ 107.52 $  92.81 $ 102.33  2.73% $ 15.86M
BK     $ 118.15 $ 106.43 $ 114.44  1.61% $ 15.83M
RF     $  27.72 $  25.74 $  26.69  1.66% $ 15.77M
MRNA   $  32.73 $  27.36 $  28.46  5.05% $ 15.76M
GWW    $1030.54 $ 984.05 $ 989.18  1.65% $ 15.70M
ICLR   $ 183.58 $ 173.19 $ 181.83  2.83% $ 15.58M
CTSH   $  85.39 $  72.97 $  81.38  1.67% $ 15.39M
PAAS   $  53.79 $  36.74 $  47.42  4.23% $ 15.36M
ODFL   $ 159.37 $ 147.20 $ 150.78  2.61% $ 15.36M
PATH   $  17.14 $  13.62 $  16.25  5.10% $ 15.11M
U      $  45.43 $  39.16 $  45.25  5.07% $ 14.93M
LPLA   $ 373.38 $ 357.23 $ 365.98  2.49% $ 14.87M
MCO    $ 517.04 $ 495.13 $ 492.88  1.60% $ 14.66M
TWLO   $ 140.32 $ 117.41 $ 132.91  2.80% $ 14.54M
AA     $  53.63 $  35.59 $  45.52  3.33% $ 14.43M
ONDS   $   9.12 $   6.13 $   8.54 10.32% $ 14.41M
BDX    $ 196.14 $ 188.21 $ 194.86  1.78% $ 14.33M
