SCAN SUMMARY:
  Total in scan: 553
  Current tickers: 78
  Already in list: 38
  NEW (delta): 515

NEW CANDIDATES (not in current list):
----------------------------------------------------------------------
Symbol    Price   SMA120    SMA22   ATR%  Vol($M)
----------------------------------------------------------------------
FOX    $  64.94 $  55.40 $  61.56  1.53% $  3.43M
DYN    $  20.36 $  15.24 $  20.18  6.92% $  3.42M
NVMI   $ 336.09 $ 298.38 $ 320.40  3.47% $  3.37M
SQM    $  70.96 $  48.06 $  64.68  3.02% $  3.37M
HLNE   $ 138.67 $ 138.11 $ 128.68  2.22% $  3.36M
WU     $   9.34 $   8.57 $   9.18  2.22% $  3.35M
IRT    $  17.32 $  16.91 $  16.97  1.54% $  3.33M
CTRE   $  36.96 $  34.41 $  36.94  1.66% $  3.32M
VKTX   $  37.34 $  32.69 $  36.17  4.02% $  3.32M
UNF    $ 200.38 $ 170.21 $ 178.88  3.27% $  3.29M
PCVX   $  47.64 $  38.88 $  46.24  3.19% $  3.25M
ZION   $  59.54 $  54.93 $  56.86  1.84% $  3.24M
GL     $ 143.48 $ 135.74 $ 136.41  1.51% $  3.21M
LNC    $  46.00 $  40.18 $  43.68  2.18% $  3.19M
APGE   $  78.04 $  49.96 $  74.69  3.26% $  3.18M
BC     $  75.95 $  64.77 $  71.84  1.96% $  3.18M
R      $ 197.56 $ 179.90 $ 185.22  2.31% $  3.17M
BTSG   $  37.72 $  28.29 $  36.11  2.82% $  3.16M
FSM    $  10.12 $   8.14 $   9.66  3.93% $  3.16M
LNTH   $  66.70 $  59.48 $  62.66  3.01% $  3.13M
UPWK   $  20.96 $  16.60 $  20.44  3.77% $  3.10M
YUMC   $  49.06 $  45.53 $  47.72  1.54% $  3.10M
NXE    $   9.46 $   8.11 $   8.99  4.67% $  3.09M
SRRK   $  45.87 $  35.99 $  44.23  3.65% $  3.08M
CUK    $  31.08 $  26.54 $  25.73  3.49% $  3.07M
DNN    $   2.77 $   2.48 $   2.64  4.85% $  3.06M
SRPT   $  22.30 $  19.43 $  21.32  4.78% $  3.05M
ATAT   $  42.26 $  37.92 $  41.16  2.81% $  3.05M
NVST   $  22.02 $  20.50 $  21.29  2.78% $  3.03M
NXST   $ 203.69 $ 195.70 $ 197.61  2.30% $  3.01M
ASB    $  26.56 $  25.67 $  26.37  1.76% $  2.96M
KVYO   $  32.39 $  29.96 $  29.90  3.76% $  2.96M
OPCH   $  32.35 $  28.98 $  31.74  2.53% $  2.95M
HTHT   $  48.61 $  38.94 $  47.56  1.86% $  2.94M
CR     $ 188.58 $ 186.88 $ 186.26  1.67% $  2.92M
DOCN   $  49.06 $  37.81 $  46.85  3.99% $  2.91M
KGS    $  36.70 $  34.50 $  36.09  2.31% $  2.90M
LSTR   $ 145.34 $ 132.17 $ 141.08  2.04% $  2.90M
ADMA   $  19.54 $  16.91 $  19.48  3.15% $  2.89M
MT     $  45.21 $  37.29 $  44.10  1.77% $  2.88M
ALV    $ 119.78 $ 119.63 $ 119.06  1.65% $  2.88M
MIRM   $  80.70 $  67.89 $  70.89  4.14% $  2.83M
TEX    $  54.68 $  50.65 $  50.37  2.47% $  2.83M
ASH    $  59.35 $  52.48 $  57.63  2.23% $  2.81M
TKR    $  86.06 $  78.18 $  84.01  1.91% $  2.80M
GVA    $ 118.59 $ 105.07 $ 111.36  1.89% $  2.78M
EWBC   $ 115.39 $ 105.35 $ 111.33  1.81% $  2.78M
VOYA   $  75.54 $  73.25 $  72.66  1.75% $  2.78M
LFUS   $ 260.82 $ 252.98 $ 257.35  2.48% $  2.78M
IMNM   $  22.32 $  13.66 $  20.01  7.25% $  2.76M
EGO    $  36.87 $  26.63 $  33.01  3.50% $  2.73M
MTG    $  29.75 $  27.60 $  28.79  1.51% $  2.69M
NUVB   $   9.51 $   4.39 $   8.44  5.14% $  2.68M
FMX    $ 102.69 $  94.47 $ 100.40  2.10% $  2.67M
BYD    $  85.34 $  83.17 $  83.42  1.53% $  2.66M
FIBK   $  35.88 $  31.84 $  34.45  1.68% $  2.64M
AEG    $   7.68 $   7.56 $   7.68  2.12% $  2.63M
OI     $  14.96 $  13.31 $  14.34  2.84% $  2.63M
XMTR   $  63.51 $  50.01 $  59.39  4.79% $  2.61M
YOU    $  36.25 $  33.72 $  36.15  4.69% $  2.61M
GTX    $  17.43 $  14.29 $  16.84  2.15% $  2.60M
APLS   $  25.16 $  23.52 $  23.41  4.22% $  2.59M
REZI   $  35.65 $  34.43 $  34.47  3.20% $  2.57M
TMC    $   7.62 $   6.51 $   7.01  8.12% $  2.53M
TDC    $  30.57 $  23.64 $  30.14  2.48% $  2.53M
ORA    $ 114.40 $  99.84 $ 112.09  2.29% $  2.52M
PEGA   $  62.12 $  56.79 $  58.45  2.96% $  2.51M
IMVT   $  26.87 $  19.12 $  24.67  4.84% $  2.51M
TWO    $  11.09 $   9.99 $  10.39  2.49% $  2.51M
SPHR   $  93.86 $  61.23 $  86.66  3.34% $  2.51M
UMBF   $ 119.00 $ 114.35 $ 116.02  1.62% $  2.50M
FCN    $ 175.85 $ 165.23 $ 169.29  1.80% $  2.50M
HCC    $  89.27 $  66.00 $  82.34  3.08% $  2.49M
CVCO   $ 607.41 $ 527.61 $ 592.40  2.30% $  2.49M
VRDN   $  32.27 $  22.69 $  32.02  2.91% $  2.48M
TVTX   $  40.34 $  25.59 $  35.30  4.66% $  2.47M
FR     $  58.43 $  53.00 $  57.63  1.53% $  2.42M
MC     $  71.17 $  69.14 $  67.83  2.56% $  2.42M
CRUS   $ 121.57 $ 117.42 $ 121.51  2.18% $  2.42M
SSRM   $  22.83 $  19.71 $  22.09  4.40% $  2.40M
TLRY   $  10.15 $   2.36 $   7.75 15.37% $  2.39M
MLI    $ 118.14 $  99.67 $ 112.79  1.69% $  2.39M
BANC   $  19.68 $  16.78 $  19.25  1.86% $  2.36M
GT     $   8.73 $   8.56 $   8.69  2.90% $  2.35M
VMI    $ 417.21 $ 386.06 $ 412.46  2.04% $  2.34M
SVM    $   8.60 $   6.04 $   8.10  5.14% $  2.34M
PPTA   $  26.57 $  20.89 $  26.16  7.12% $  2.33M
MYRG   $ 225.66 $ 201.93 $ 221.86  3.03% $  2.33M
EDU    $  55.87 $  51.98 $  53.42  2.14% $  2.33M
SHC    $  17.70 $  15.33 $  17.02  1.61% $  2.32M
BEAM   $  28.11 $  22.65 $  26.38  4.72% $  2.29M
RLI    $  65.21 $  65.04 $  63.86  1.85% $  2.28M
AUB    $  36.56 $  34.16 $  35.41  1.93% $  2.27M
BFH    $  76.75 $  63.48 $  72.80  1.67% $  2.27M
XENE   $  45.02 $  38.61 $  43.96  2.67% $  2.21M
POWL   $ 336.68 $ 297.18 $ 331.71  4.08% $  2.21M
ZTO    $  21.26 $  19.47 $  20.98  1.92% $  2.20M
CENX   $  39.31 $  26.81 $  31.97  3.94% $  2.20M
GMAB   $  33.70 $  27.87 $  31.90  2.11% $  2.19M
DXC    $  15.08 $  13.88 $  14.45  2.69% $  2.19M
ARRY   $  10.18 $   8.04 $   8.41  5.39% $  2.19M
GXO    $  54.32 $  52.01 $  52.22  1.89% $  2.18M
DAVE   $ 228.51 $ 213.29 $ 206.77  3.78% $  2.18M
MRCY   $  74.58 $  68.66 $  71.34  3.39% $  2.18M
PLAB   $  33.67 $  23.40 $  29.32  6.94% $  2.15M
AROC   $  25.78 $  24.44 $  25.11  2.46% $  2.14M
ENS    $ 149.74 $ 115.73 $ 145.94  2.27% $  2.13M
NOVT   $ 122.72 $ 115.80 $ 117.10  2.18% $  2.13M
EWTX   $  27.31 $  17.00 $  23.69  7.90% $  2.12M
HE     $  11.91 $  11.48 $  11.68  3.73% $  2.11M
SLAB   $ 135.35 $ 133.37 $ 134.38  3.01% $  2.11M
TARS   $  82.60 $  62.00 $  80.66  2.94% $  2.10M
DVAX   $  15.39 $  10.57 $  11.20  3.31% $  2.09M
FULT   $  20.18 $  18.62 $  19.32  1.92% $  2.09M
SYNA   $  73.99 $  69.00 $  73.92  3.01% $  2.08M
NRIX   $  19.38 $  12.15 $  18.39  6.25% $  2.07M
ST     $  33.64 $  31.74 $  33.43  2.71% $  2.07M
BVN    $  29.56 $  21.80 $  26.60  3.35% $  2.06M
TNDM   $  22.49 $  15.54 $  21.41  4.49% $  2.05M
TCBI   $  93.61 $  86.50 $  93.11  1.74% $  2.05M
IAC    $  39.78 $  35.96 $  37.38  1.79% $  2.05M
ACAD   $  27.86 $  23.75 $  26.41  2.64% $  2.04M
VSAT   $  35.06 $  29.90 $  34.80  5.49% $  2.04M
CRNX   $  48.78 $  38.24 $  47.29  3.98% $  2.03M
WES    $  39.51 $  38.88 $  39.24  1.53% $  2.02M
UFPT   $ 236.21 $ 215.70 $ 222.09  2.36% $  2.01M
LAUR   $  33.83 $  28.52 $  31.90  2.43% $  2.01M
FORM   $  58.19 $  40.95 $  56.28  3.09% $  2.01M
HWC    $  65.36 $  60.92 $  63.88  1.57% $  2.00M
