symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,hold_weeks,entry_rsi,backtest_days
AMZN,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,210.62,201.08,23,-219.3,MeanRev,1.0,30.1,1095
DELL,2024-08-05 04:00:00+00:00,2024-09-09 04:00:00+00:00,90.81,114.36,55,1295.52,MeanRev,5.0,41.1,1095
DELL,2024-09-16 04:00:00+00:00,2024-09-23 04:00:00+00:00,112.38,120.28,44,347.6,MeanRev,1.0,43.6,1095
DELL,2025-01-20 05:00:00+00:00,2025-02-10 05:00:00+00:00,110.38,114.36,45,178.88,MeanRev,3.0,37.9,1095
DELL,2025-02-17 05:00:00+00:00,2025-03-03 05:00:00+00:00,116.42,96.48,42,-837.27,SL,2.0,38.0,1095
DELL,2025-03-10 04:00:00+00:00,2025-04-21 04:00:00+00:00,89.29,94.92,55,309.38,MeanRev,6.0,27.7,1095
DELL,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,94.4,95.98,52,82.42,MeanRev,1.0,43.3,1095
DELL,2025-11-24 05:00:00+00:00,2025-12-01 05:00:00+00:00,124.28,138.96,40,587.4,MeanRev,1.0,42.2,1095
VRT,2024-08-05 04:00:00+00:00,2024-08-26 04:00:00+00:00,62.4,83.0,80,1648.0,MeanRev,3.0,32.4,1095
VRT,2024-09-09 04:00:00+00:00,2024-09-16 04:00:00+00:00,72.84,94.62,68,1480.7,MeanRev,1.0,31.9,1095
VRT,2025-02-17 05:00:00+00:00,2025-03-24 04:00:00+00:00,111.02,73.68,45,-1680.25,SL,4.9,43.6,1095
VRT,2025-03-31 04:00:00+00:00,2025-04-21 04:00:00+00:00,70.08,87.11,71,1208.78,MeanRev,3.0,31.5,1095
VRT,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,86.64,94.07,57,423.51,MeanRev,1.0,32.6,1095
VRT,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,101.23,104.12,49,141.36,MeanRev,1.0,39.5,1095
SMH,2023-05-08 04:00:00+00:00,2023-07-24 04:00:00+00:00,124.28,160.51,40,1449.2,MeanRev,11.0,21.1,1095
SMH,2023-07-31 04:00:00+00:00,2023-08-28 04:00:00+00:00,160.62,156.11,31,-139.81,MeanRev,4.0,26.9,1095
SMH,2023-10-23 04:00:00+00:00,2023-10-30 04:00:00+00:00,141.22,149.51,35,290.15,MeanRev,1.0,38.0,1095
SMH,2024-09-09 04:00:00+00:00,2024-09-23 04:00:00+00:00,218.66,247.64,22,637.56,MeanRev,2.0,42.4,1095
SMH,2025-03-03 05:00:00+00:00,2025-03-31 04:00:00+00:00,235.27,203.67,21,-663.66,SL,3.9,43.5,1095
SMH,2025-04-07 04:00:00+00:00,2025-04-28 04:00:00+00:00,173.5,219.2,28,1279.46,MeanRev,3.0,22.8,1095
SMH,2025-05-05 04:00:00+00:00,2025-05-12 04:00:00+00:00,216.9,246.53,23,681.49,MeanRev,1.0,36.5,1095
AVGO,2024-07-22 04:00:00+00:00,2024-12-09 05:00:00+00:00,160.24,224.83,31,2002.44,MeanRev,20.0,28.3,1095
AVGO,2025-03-24 04:00:00+00:00,2025-03-31 04:00:00+00:00,194.59,151.26,25,-1083.3,SL,1.0,38.0,1095
AVGO,2025-04-07 04:00:00+00:00,2025-04-21 04:00:00+00:00,144.49,192.24,34,1623.67,MeanRev,2.0,20.1,1095
AVGO,2025-04-28 04:00:00+00:00,2025-05-05 04:00:00+00:00,190.63,208.09,26,453.96,MeanRev,1.0,38.5,1095
APP,2024-08-05 04:00:00+00:00,2024-08-12 04:00:00+00:00,61.93,86.31,80,1950.4,MeanRev,1.0,44.9,1095
APP,2025-03-10 04:00:00+00:00,2025-04-28 04:00:00+00:00,246.04,307.4,20,1227.2,MeanRev,7.0,44.9,1095
CRWD,2024-08-05 04:00:00+00:00,2024-09-16 04:00:00+00:00,201.53,299.82,24,2358.84,MeanRev,6.0,37.4,1095
CRWD,2024-09-30 04:00:00+00:00,2024-10-07 04:00:00+00:00,283.95,320.22,17,616.59,MeanRev,1.0,36.0,1095
CRWD,2025-04-07 04:00:00+00:00,2025-04-14 04:00:00+00:00,300.15,375.47,16,1205.12,MeanRev,1.0,44.5,1095
CRWD,2025-08-25 04:00:00+00:00,2025-09-15 04:00:00+00:00,425.5,502.34,11,845.24,MeanRev,3.0,45.0,1095
PLTR,2023-09-25 04:00:00+00:00,2023-10-02 04:00:00+00:00,14.0,16.62,100,262.0,MeanRev,1.0,41.2,1095
PLTR,2025-11-24 05:00:00+00:00,2025-12-01 05:00:00+00:00,157.47,181.74,31,752.22,MeanRev,1.0,41.8,1095
ARM,2025-03-17 04:00:00+00:00,2025-04-07 04:00:00+00:00,118.9,81.53,42,-1569.41,SL,3.0,40.3,1095
ARM,2025-04-14 04:00:00+00:00,2025-04-28 04:00:00+00:00,108.21,123.28,46,693.22,MeanRev,2.0,34.7,1095
