symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
NRG,15M_STK,166.16,2.91,11.76,161.34,True,True
SE,15M_STK,131.46,2.91,30.93,126.62,True,True
LSCC,15M_STK,78.6,2.9,5.45,76.05,True,True
MOS,15M_STK,25.03,2.9,11.39,24.25,True,True
ALK,15M_STK,51.52,2.87,5.29,51.03,True,True
OVV,15M_STK,40.49,2.87,7.56,39.51,True,True
NTNX,15M_STK,50.61,2.86,8.18,49.9,True,True
ETSY,15M_STK,57.31,2.86,8.22,54.6,True,True
TECK,15M_STK,48.04,2.84,12.9,45.46,True,True
BBWI,15M_STK,20.75,2.78,6.96,19.7,True,True
APA,15M_STK,25.37,2.76,6.47,25.13,True,True
GLW,15M_STK,90.67,2.76,23.1,88.86,True,True
FCX,15M_STK,51.94,2.71,43.13,48.73,True,True
NVO,15M_STK,52.4,2.7,37.67,49.6,True,True
RCL,15M_STK,283.24,2.7,30.21,278.52,True,True
FND,15M_STK,62.93,2.69,7.97,62.23,True,True
WLK,15M_STK,74.17,2.68,5.44,72.74,True,True
MTZ,15M_STK,227.54,2.68,8.92,221.4,True,True
CRS,15M_STK,338.93,2.67,13.57,320.84,True,True
AMAT,15M_STK,268.8,2.64,56.0,262.29,True,True
FUTU,15M_STK,178.47,2.64,6.17,167.68,True,True
MDGL,15M_STK,594.07,2.63,6.89,576.76,True,True
TWLO,15M_STK,138.37,2.63,14.29,136.79,True,True
APH,15M_STK,139.73,2.61,43.84,135.53,True,True
GH,15M_STK,101.79,2.61,8.32,101.79,True,True
CHWY,15M_STK,33.51,2.61,14.4,33.21,True,True
SNPS,15M_STK,480.42,2.57,36.15,468.73,True,True
DVN,15M_STK,37.88,2.56,13.19,36.78,True,True
TGT,15M_STK,100.49,2.56,29.79,96.46,True,True
MOH,15M_STK,178.38,2.56,8.43,163.58,True,True
NVDA,15M_STK,188.82,2.55,629.17,182.94,True,True
WSM,15M_STK,187.81,2.55,9.46,185.46,True,True
HUM,15M_STK,264.46,2.55,19.59,259.63,True,True
ON,15M_STK,56.69,2.53,22.58,55.04,True,True
TSM,15M_STK,319.67,2.53,111.78,297.1,True,True
IRM,15M_STK,83.19,2.52,6.86,82.75,True,True
ICLR,15M_STK,188.79,2.51,13.04,183.04,True,True
RGLD,15M_STK,220.57,2.5,7.76,219.22,True,True
DLTR,15M_STK,127.7,2.48,17.51,124.72,True,True
SCCO,15M_STK,148.75,2.48,5.53,144.2,True,True
CNC,15M_STK,41.81,2.47,12.66,39.73,True,True
SAIA,15M_STK,337.27,2.46,10.53,333.04,True,True
MMYT,15M_STK,81.94,2.46,5.68,81.04,True,True
BWXT,15M_STK,181.79,2.46,6.74,176.32,True,True
PDD,15M_STK,115.77,2.45,30.66,112.88,True,True
DOW,15M_STK,24.29,2.45,12.78,23.39,True,True
BBIO,15M_STK,78.25,2.42,5.48,75.13,True,True
