symbol,timestamp,label,rsi,rsi_5,adx,macd_hist,atr_pct,dist_lower,sma50_slope,vol_rel,hour
AMD,2025-09-05 13:30:00+00:00,0,19.827962514154436,6.928453655809548,95.37674012884605,-0.30667908804303257,0.007608601701435465,-0.0237511256352185,-0.0011765305462882504,9.13853621289614,13.0
AMD,2025-09-05 13:45:00+00:00,0,18.24030399070965,6.104382584833104,93.50058690583677,-0.651608284783395,0.00799887291836295,-0.024617902608031168,-0.002240010951164558,3.6916859977999557,13.0
AMD,2025-09-05 14:00:00+00:00,1,15.344455136892236,4.605738856738029,91.32442780100445,-0.9542046372153795,0.008423760664737889,-0.031794616470627125,-0.003629882815542817,3.809240949085797,14.0
AMD,2025-09-05 14:15:00+00:00,1,13.995005863317132,3.926226983737564,89.0127259848364,-1.1589424074753847,0.00871350609411134,-0.03339100069171803,-0.004212909853715181,2.5220152223500114,14.0
AMD,2025-09-05 14:30:00+00:00,1,17.43422380422018,11.13418632716595,86.86614572696605,-1.1897336906225675,0.008571889704127375,-0.025843188736957182,-0.0045114840332342344,1.8650609576541521,14.0
AMD,2025-09-05 14:45:00+00:00,1,17.285346398165686,10.929194917572488,84.90214525260303,-1.1435489802448897,0.008688945626159012,-0.022109242262409488,-0.004300115654398718,1.6197978943684563,14.0
AMD,2025-09-05 15:00:00+00:00,1,17.445176914099306,11.358662001406046,83.03687719544622,-1.0415928764520592,0.008483785623863179,-0.018634232340060973,-0.004025582249338005,1.3160185921518086,15.0
AMD,2025-09-05 15:15:00+00:00,1,24.080534911306216,29.26438766566494,81.35489304017624,-0.855320565984836,0.008323750333433326,-0.010376773645254085,-0.0038153235339144515,1.4518178828840838,15.0
AMD,2025-09-05 17:30:00+00:00,1,28.945663566722587,23.28548107217496,68.93552372452962,0.11380140015350726,0.0072916705437002325,-0.003897634672592121,-0.0035291410838797304,0.8013833402897859,17.0
AMD,2025-09-17 18:00:00+00:00,1,27.393258442351936,15.697625280454005,21.294182310124793,-0.20451858028664294,0.005543475668591208,-0.007110524792969621,-0.0010100113071234223,1.509421706846805,18.0
AMD,2025-09-18 13:30:00+00:00,1,27.69060126928852,16.90309029392587,25.093725152340504,-0.26634401160336196,0.010874547043424795,-0.020436227062901116,-0.001441185272931179,6.544237041775595,13.0
AMD,2025-09-25 13:30:00+00:00,1,21.23800292362958,4.516862901046224,15.37332163347001,-0.42902342787150005,0.007043590549515152,-0.02255785144949359,-0.0007544924904710237,2.351011181274799,13.0
AMD,2025-10-03 17:30:00+00:00,1,26.73656333371254,8.297210416769275,26.328213352805367,-0.4529684432727771,0.005305055441636189,-0.006558644816800981,0.001271169797576835,0.7426135065057886,17.0
AMD,2025-10-03 17:45:00+00:00,1,24.121205829905435,6.450273341099972,28.769318051828694,-0.5189447653954489,0.005700943151247062,-0.007968648440674868,0.0009448106808823697,1.3690085256617794,17.0
AMD,2025-10-03 18:00:00+00:00,1,22.657730870821524,5.510210442144611,31.103897735757123,-0.5573148328316415,0.0058259721733448806,-0.008237463206964682,0.0007227874969067425,0.8928948687791081,18.0
AMD,2025-10-10 15:00:00+00:00,0,27.01035754480006,11.891163841430924,27.775317656966568,-1.1244466035622733,0.010254820419584424,-0.014459052047029776,-4.373377303827029e-05,2.6380066119572163,15.0
AMD,2025-10-10 15:15:00+00:00,1,21.654887786674337,7.44934166818183,30.318603694843326,-1.4909789771964004,0.011666488894386347,-0.02712747889035351,-0.0008708144584661441,4.465493470040222,15.0
AMD,2025-10-10 15:30:00+00:00,1,28.61221479967969,23.708237634468134,33.07608405351318,-1.507378066537724,0.012584844801624183,-0.01184485835453093,-0.001177541845642069,1.7001380499010597,15.0
AMD,2025-10-10 16:45:00+00:00,1,29.32998193155902,23.903480785595406,39.378404096417356,-0.7379473122983731,0.011371165822763108,-0.002565870059177885,-0.002261659631309888,0.6300037882288659,16.0
AMD,2025-10-10 17:00:00+00:00,1,28.87762697812937,22.566001700698564,40.677990193288196,-0.6206213283328785,0.011193251403545995,-0.0015955060237364334,-0.002820397553769674,0.5300190721432396,17.0
AMD,2025-10-10 19:45:00+00:00,1,25.98944280729026,10.872019889996267,44.99172914070392,-0.06792125955758799,0.009933587447179445,-0.0038932818481396637,-0.005397675092190951,2.194446574775792,19.0
AMD,2025-10-22 14:15:00+00:00,0,26.90354088615264,12.327215957851038,14.10009472689934,-0.4758468383971808,0.00695532910732755,-0.008319447660027067,-0.0012829692408856217,2.3640382852552513,14.0
AMD,2025-10-22 14:30:00+00:00,1,21.66311643276596,8.245770981787828,16.51211794582737,-0.8163064780092263,0.0076070833562499295,-0.016233628024009843,-0.0021274728581099278,3.10022917527034,14.0
AMD,2025-10-22 15:15:00+00:00,1,26.637653874928887,20.464557010040153,23.607144270521193,-0.9929649467271546,0.008902106525960013,-0.01419764281483471,-0.00248297796487974,1.0559348561158464,15.0
AMD,2025-10-22 17:00:00+00:00,1,27.709071954939816,19.73679802400136,35.28291842251247,-0.4636623687553487,0.008348923383611748,-0.004568352181672332,-0.003501126236411561,0.4133279202109455,17.0
AMD,2025-10-22 17:15:00+00:00,1,25.86731014897991,15.6978481015217,37.161161494446304,-0.46130468410884573,0.008318267702232233,-0.006481360041723161,-0.003678288796816529,0.7666845454557925,17.0
AMD,2025-10-22 17:30:00+00:00,1,24.659575534822423,13.359625655618899,38.943381913292285,-0.4550325477379995,0.008192456868232762,-0.007196456165717962,-0.00392536307703795,0.8526944110439515,17.0
