experiment,run_id,conclusion,download_path
Stock_RSI30_TP1.5_90d,20292901714,success,C:\Users\vraoo\GitHub\RubberBandBot\RubberBandBot\latest runs\12_16_2025\BacktestRuns\Stock_RSI30_TP1.5_90d_20292901714
Stock_RSI30_TP1.5_120d,20292970270,success,C:\Users\vraoo\GitHub\RubberBandBot\RubberBandBot\latest runs\12_16_2025\BacktestRuns\Stock_RSI30_TP1.5_120d_20292970270
