symbol,entry_date,entry_price,opt_cost,contracts,max_profit,max_loss,weeks_held,exit_date,exit_price,exit_opt_val,pnl,roi,reason
COIN,2025-02-24,239.13999938964844,9.565599975585938,1,0,0,5,2025-03-31,160.5500030517578,-30.472192687988283,-40.03779266357422,-418.56018196204906,SL_Stock
COIN,2025-04-07,146.0399932861328,5.841599731445313,1,0,0,2,2025-04-21,209.63999938964844,36.473282836914066,30.631683105468753,524.3714823625882,MeanRev
COIN,2025-04-28,208.1999969482422,8.327999877929688,1,0,0,2,2025-05-12,266.4599914550781,35.79239715576172,27.46439727783203,329.78383381844606,MeanRev
SHOP,2025-03-10,96.06999969482422,3.842799987792969,1,0,0,6,2025-04-21,97.12000274658203,2.0621215209960932,-1.7806784667968758,-46.338047060824806,MeanRev
SHOP,2025-05-12,104.0,4.16,1,0,0,1,2025-05-19,101.51000213623047,2.4990010681152346,-1.6609989318847656,-39.92785893953763,MeanRev
CRWD,2025-04-07,300.05999755859375,12.00239990234375,1,0,0,1,2025-04-14,375.6199951171875,48.582158691406256,36.57975878906251,304.7703716480856,MeanRev
CRWD,2025-09-01,417.1090087890625,16.6843603515625,1,0,0,2,2025-09-15,502.54998779296875,56.067977783203126,39.38361743164063,236.05110775464843,MeanRev
MPWR,2025-04-07,463.29760288858256,18.531904115543302,1,0,0,2,2025-04-21,581.4578857421875,73.90566471923711,55.37376060369381,298.80232629333574,MeanRev
MU,2025-03-03,95.53559987534899,3.82142399501396,1,0,0,1,2025-03-10,100.50135040283203,5.922156859254083,2.1007328642401233,54.97251461709234,MeanRev
MU,2025-04-07,63.83988785510145,2.553595514204058,1,0,0,4,2025-05-05,85.72557067871094,12.474998720327179,9.92140320612312,388.52681056716096,MeanRev
UBER,2025-11-24,84.1500015258789,3.366000061035156,1,0,0,1,2025-12-01,91.31999969482422,6.614399139404297,3.2483990783691405,96.50620972865195,MeanRev
SMH,2025-03-03,235.3699951171875,9.414799804687501,1,0,0,4,2025-03-31,180.8000030517578,-13.80611737060547,-23.22091717529297,-246.64270783252974,SL_Stock
SMH,2025-04-07,173.49000549316406,6.939600219726563,1,0,0,3,2025-04-28,219.02999877929688,27.627716796875003,20.688116577148442,298.11683558283715,MeanRev
SMH,2025-05-05,217.02999877929688,8.681199951171875,1,0,0,1,2025-05-12,246.4199981689453,22.50807965087891,13.826879699707034,159.2738305473605,MeanRev
NVDA,2025-03-03,123.47623664057602,4.939049465623041,1,0,0,5,2025-04-07,110.90986633300781,-13.871646281703164,-18.810695747326207,-380.85659757516345,SL_Stock
NVDA,2025-04-14,114.08928452588457,4.563571381035382,1,0,0,2,2025-04-28,114.4792251586914,3.8458274212317263,-0.7177439598036561,-15.72768123637445,MeanRev
NVDA,2025-05-05,112.88951088889792,4.515580435555917,1,0,0,1,2025-05-12,135.37542724609375,15.306980570598242,10.791400135042325,238.98146183091495,MeanRev
VRT,2025-02-17,110.85202271149358,4.434080908459743,1,0,0,6,2025-03-31,59.350772857666016,-18.9648957842059,-23.39897669266564,-527.707481566765,SL_Stock
VRT,2025-04-07,53.556560548550166,2.142262421942007,1,0,0,2,2025-04-21,86.86331176757812,18.367185547067585,16.224923125125578,757.3732778460137,MeanRev
VRT,2025-04-28,86.86331816726535,3.474532726690614,1,0,0,1,2025-05-05,93.96623229980469,6.678536520291222,3.204003793600608,92.2139477630514,MeanRev
VRT,2025-05-12,100.99921034710668,4.039968413884267,1,0,0,1,2025-05-19,104.03617858886719,5.154455693376093,1.1144872794918257,27.586534480359738,MeanRev
WDC,2025-03-10,40.5245500789142,1.620982003156568,1,0,0,3,2025-03-31,30.423297882080078,-4.215411447297879,-5.836393450454447,-360.05294562735,SL_Stock
WDC,2025-04-07,29.506809145501144,1.1802723658200458,1,0,0,2,2025-04-21,40.62416076660156,6.5028937032062455,5.3226213373862,450.9655136836213,MeanRev
WDC,2025-04-28,40.43489133667362,1.617395653466945,1,0,0,1,2025-05-05,43.93147659301758,3.2039487162922278,1.5865530628252829,98.09307076004873,MeanRev
APP,2025-03-10,246.52999877929688,9.861199951171875,1,0,0,7,2025-04-28,307.5799865722656,33.48335388183594,23.622153930664062,239.54644513477166,MeanRev
AVGO,2025-03-24,193.51219335236254,7.7404877340945015,1,0,0,1,2025-03-31,145.69683837890625,-18.025392788297086,-25.765880522391587,-332.87153739551445,SL_Stock
AVGO,2025-04-07,143.9041624928364,5.756166499713457,1,0,0,2,2025-04-21,191.53025817871094,28.417981042708032,22.661814542994577,393.69630020470544,MeanRev
AVGO,2025-04-28,189.75748558285355,7.590299423314142,1,0,0,1,2025-05-05,207.3558349609375,15.630444170024704,8.040144746710563,105.92658205307013,MeanRev
RBLX,2025-04-07,50.5099983215332,2.020399932861328,1,0,0,1,2025-04-14,59.709999084472656,6.418360321044922,4.397960388183594,217.677714033336,MeanRev
C,2025-04-07,55.022380177061926,2.200895207082477,1,0,0,2,2025-04-21,67.04383087158203,7.7714415129260335,5.570546305843557,253.10365927089796,MeanRev
C,2025-04-28,67.2691676120276,2.690766704481104,1,0,0,1,2025-05-05,70.00264739990234,3.7884299279703653,1.0976632234892612,40.793697263358176,MeanRev
QCOM,2025-04-07,122.51920490975441,4.900768196390176,1,0,0,2,2025-04-21,146.0908203125,15.706422258484936,10.80565406209476,220.48898517693664,MeanRev
QCOM,2025-05-05,136.00134443553372,5.440053777421349,1,0,0,1,2025-05-12,149.96534729003906,11.878049826931884,6.437996049510534,118.3443457164172,MeanRev
