period,model,param,value,is_frozen_value,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,sens_pullback_dist=0.01,pullback_dist,0.01,False,2519,0.3231441048034934,0.05976293998745757,-0.023671281207448613,-0.010965720869623552,0.003289995510556005,2.6275782774903695,1.205341781124141,8.287498691090576,0.058273768143488176,9.479555379118699,0.05065997503877057,-0.022682408444575176,0.045823646643002675,0.7131784629052712,0.0035947613009418666,15983,-0.0007391006310311934,50000.0,67445.72259319779,0.3489144518639559,0.10412741895280653,-0.24013076736900363,0.2005902725350465,0.14741875659125678,0.5909829448828039,0.8062336535028343,0.4333569818620453,0.9315877548018044,59834.978332171515,78952.90183466667,5.37389770723104,10.0,408.0,16088.0
dev,sens_pullback_dist=0.02,pullback_dist,0.02,True,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,88298.25147849729,0.7659650295699457,0.20505549568824954,-0.2431850014294871,0.20194140648714443,0.14544552141690095,1.0162080931379947,1.418745233328461,0.873446111592882,0.9335708872636942,67960.07345974163,100807.24986033332,5.265432098765433,10.0,372.3333333333333,19646.0
dev,sens_pullback_dist=0.03,pullback_dist,0.03,False,2542,0.3241542092840283,0.061098924187377585,-0.023751388940944387,-0.011034583659580488,0.0037531972186690306,2.9687096758617226,1.2338109039924205,9.540627329856676,0.07240732152109186,9.603855232100708,0.051387464926499794,-0.022761884462818727,0.04597121568706549,0.7079564925190147,0.003370563119016818,21933,-0.0009632988129562418,50000.0,76662.30690879111,0.5332461381758221,0.15193785088428,-0.2531521524122896,0.19776224976883328,0.1429541691325783,0.8134642838778153,1.1275436221890047,0.6085944056047877,0.9339128172977261,64006.872212724855,91163.66843800001,5.332892416225749,10.0,375.3333333333333,22047.0
dev,sens_pullback_mode=touch(low<=EMA20<close),pullback_mode,touch(low<=EMA20<close),False,1885,0.3039787798408488,0.053436629672598754,-0.021063523618128462,-0.009529236236405003,0.001582942077142996,1.1679347133499873,1.1079720927227084,2.9838458154145475,-6.468298740863698e-05,7.838196286472148,0.04454472637417361,-0.020975693809408034,0.04276385049193656,0.7235290057135778,0.004532180552501802,3574,0.00019831862052874238,50000.0,89843.79308926732,0.7968758617853465,0.21295553774381135,-0.18258365024479764,0.1956396020557288,0.1390173602252953,1.0687250023695254,1.5065877627329707,1.1647101172632854,0.8976876946678387,68211.32063292638,99836.474934,4.902116402116402,9.0,424.0,3607.0
dev,sens_stock_trend=above200,stock_trend,above200,False,3657,0.3196609242548537,0.05803098196379445,-0.02286849075703179,-0.00997355463573013,0.0029919094646378517,2.8709649166907067,1.1923027648302662,10.941412912180624,0.05661274822274011,8.734208367514356,0.04864193361751322,-0.022157934625329192,0.04466751822919698,0.7118470408388414,0.003021591246632372,25646,-0.0013122706853406878,50000.0,81447.14176355266,0.628942835271053,0.176105603288371,-0.23304277661928577,0.2036088571536044,0.1447200970322109,0.8979939384497823,1.265941418159085,0.7593868799896644,0.9530150855276767,64851.90846333466,87695.83351633332,5.62389770723104,11.0,413.0,25868.0
dev,sens_stock_trend=above200_50_200,stock_trend,above200_50_200,False,3261,0.3137074517019319,0.05655307120905553,-0.02160664480965803,-0.009614812192364486,0.0029126405283192735,2.7571232372651227,1.1964220648772883,9.498120762849151,0.05491749377285507,8.29408157007053,0.04696705612113518,-0.02133769733881672,0.04356476634151094,0.7136845882989424,0.0032658199432773548,22302,-0.0010680419886957052,50000.0,75846.74516332922,0.5169349032665844,0.14760428879260248,-0.22197675136554948,0.20547140239776385,0.14924939532811293,0.7714302368143476,1.0637643094767857,0.6688825597596247,0.9483248653346242,61194.87553760494,82969.521055,5.402116402116403,11.333333333333334,421.0,22455.0
dev,sens_stock_trend=full,stock_trend,full,True,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,88298.25147849729,0.7659650295699457,0.20505549568824954,-0.2431850014294871,0.20194140648714443,0.14544552141690095,1.0162080931379947,1.418745233328461,0.873446111592882,0.9335708872636942,67960.07345974163,100807.24986033332,5.265432098765433,10.0,372.3333333333333,19646.0
dev,sens_initial_stop=none,initial_stop,none,False,2392,0.3285953177257525,0.062150794285545034,-0.024545068949566543,-0.010515280246798542,0.00394278577568333,2.9433833995288463,1.2392514392682557,9.431143575434525,0.07466871846833299,10.304347826086957,0.053225254648671096,-0.02575339676753126,0.046910819067036036,0.7118591110856367,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,91433.42475547704,0.828668495109541,0.21918231295687055,-0.24264847201107176,0.2061019418065708,0.14922002801352238,1.0521850456024604,1.4585797371575824,0.9092096604773409,0.9510286992207777,70923.81077776499,103107.31057233333,5.479717813051146,10.0,354.0,19646.0
dev,sens_initial_stop=atr1.0,initial_stop,atr1.0,False,2832,0.3019067796610169,0.0592094517099632,-0.021011594082612123,-0.01377612589642635,0.003207683513663267,2.8734375977713573,1.2186850475970399,9.084159710694372,0.08940564867023405,8.32768361581921,0.04698855813465733,-0.01888067770456255,0.04362083947350983,0.7077019642611204,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,99502.74975516608,0.9900549951033217,0.2558992618702752,-0.2335690111276657,0.20641117917221133,0.14397033423855202,1.2026050384732514,1.726824628132302,1.1505555849357443,0.9224364790666426,74670.0140331627,114840.34620366669,4.338183421516755,7.0,347.3333333333333,19646.0
dev,sens_initial_stop=atr1.5,initial_stop,atr1.5,True,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,88298.25147849729,0.7659650295699457,0.20505549568824954,-0.2431850014294871,0.20194140648714443,0.14544552141690095,1.0162080931379947,1.418745233328461,0.873446111592882,0.9335708872636942,67960.07345974163,100807.24986033332,5.265432098765433,10.0,372.3333333333333,19646.0
dev,sens_initial_stop=atr2.0,initial_stop,atr2.0,False,2448,0.32883986928104575,0.06131859606824105,-0.024458707334857725,-0.010545021176846803,0.0037482899034978726,2.8627561512736874,1.2283355446342603,9.175813683762792,0.05340654439712081,9.990196078431373,0.05253465884279096,-0.02429741589465496,0.046506524274476456,0.7112336384919699,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,82896.83557280064,0.6579367114560127,0.18317460930078586,-0.23389693259287891,0.19167355663948252,0.13827278660082912,0.9706546116064434,1.3462531647980176,0.7862338056598298,0.9363088850904243,64701.509924358026,91887.897216,6.372134038800706,13.0,423.0,19646.0
dev,sens_initial_stop=signal_low,initial_stop,signal_low,False,3062,0.22664924885695623,0.06852908063137458,-0.016550020364245178,-0.009608207410443714,0.0027330939698371596,2.6962915827599327,1.2135401383551867,8.368733735641383,-19.496774181346645,7.308295231874592,0.04086170438652536,-0.015210532084435742,0.045059448030587645,0.7069944781482015,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,98181.90695057205,0.9636381390114414,0.2526490906381588,-0.18204757161740795,0.19946766037305055,0.13695256862239633,1.229516244140221,1.792338238249927,1.3953710511507238,0.8834745133922409,70264.17393462389,105156.29173833334,4.079805996472664,6.333333333333333,399.6666666666667,17428.0
dev,sens_initial_stop=swing_low,initial_stop,swing_low,False,2444,0.3089198036006547,0.06401869771969824,-0.023216279159368896,-0.010834203307828694,0.003732332765220179,2.867501957911295,1.2326265565900782,9.121821278198118,0.07088518807756572,9.862929623567922,0.051511495576394103,-0.022985617231381004,0.047111330120878765,0.714654793675691,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,76835.80979610815,0.5367161959221629,0.15375042210119352,-0.21882944714517505,0.1940016753806767,0.13635655976616975,0.8318212388928784,1.1848959473947964,0.7143276440791712,0.9126395957871591,59936.57428251941,82040.73234533332,6.041887125220459,10.0,432.6666666666667,19087.0
dev,sens_exit_rule=A_close<EMA9,exit_rule,A_close<EMA9,False,5454,0.37477081041437477,0.032921883222170586,-0.018118992664395397,-0.005009536617246846,0.0010096377558724563,1.8233151794362703,1.0891235112458801,5.506564320528376,0.014779869778000493,4.36046938027136,0.030655759215396816,-0.017442398156719104,0.024823355203762693,0.6195755715274284,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,63341.59136660857,0.2668318273321715,0.08153403261542154,-0.254205918476405,0.19803742075689243,0.14779576200579728,0.49301971608294365,0.6614889562855649,0.32272446853066966,0.9318693038122102,55938.85031402513,75173.44822800001,4.999559082892416,10.0,739.3333333333334,19646.0
dev,sens_exit_rule=A2_2closes<EMA9,exit_rule,A2_2closes<EMA9,False,3334,0.3623275344931014,0.04755513223706214,-0.023172015332677078,-0.007781549897287576,0.0024543776679962774,2.633601354936143,1.1661039341639934,8.18289514509959,0.045003452590301585,7.523995200959808,0.04262044303532763,-0.021647403452049647,0.03818245777254423,0.6863932791986737,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,75457.95929693316,0.5091591859386632,0.1472386466049397,-0.2493441392454927,0.20681008684635285,0.15134318844850148,0.7670087263377695,1.0481278524836635,0.593689104078941,0.9334996983129328,62502.93424108465,87618.48549499999,5.212081128747795,11.0,460.3333333333333,19646.0
dev,sens_exit_rule=W_EMA9warn+confirm,exit_rule,W_EMA9warn+confirm,False,4199,0.3636580138128126,0.03983459258445987,-0.020290382136709095,-0.006490517032134435,0.001574546750936777,2.199719884670474,1.1219480203553962,6.611521807183527,0.02957055498075971,5.708502024291498,0.03617713263688952,-0.019346084500827823,0.031216958096483095,0.6536884818709412,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,68134.94768515804,0.3626989537031607,0.10832345543821982,-0.2505628583259649,0.19875511784596486,0.14780181942658074,0.6142655972150405,0.8264930557041096,0.43471961250924185,0.930427558071692,58588.513241098764,80402.12332666667,5.092592592592593,10.0,579.6666666666666,19646.0
dev,sens_exit_rule=B_close<EMA20,exit_rule,B_close<EMA20,True,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,88298.25147849729,0.7659650295699457,0.20505549568824954,-0.2431850014294871,0.20194140648714443,0.14544552141690095,1.0162080931379947,1.418745233328461,0.873446111592882,0.9335708872636942,67960.07345974163,100807.24986033332,5.265432098765433,10.0,372.3333333333333,19646.0
dev,sens_exit_rule=C_EMA9xEMA20,exit_rule,C_EMA9xEMA20,False,1404,0.297008547008547,0.11285793115124378,-0.03301517534792895,-0.023771393428377197,0.010310384061013375,3.7501949147015385,1.4442333813419568,14.47577922166278,0.18309473898370257,20.455840455840455,0.08448908785576555,-0.02924692461272951,0.07326451371889041,0.7395508306103237,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,79209.12410343712,0.5841824820687426,0.16313964237218195,-0.26294876615569257,0.22015744724061462,0.15888270153583348,0.7938913274066035,1.1053451305157524,0.6250418058475585,0.9493885677115778,67481.33917656525,93727.14301866667,6.028659611992945,11.0,197.66666666666666,19646.0
dev,sens_exit_rule=D_swinglow,exit_rule,D_swinglow,False,1579,0.3318556048131729,0.09233866501764053,-0.03349185235049247,-0.023402642395725204,0.008265710094663762,3.737417188724747,1.3693776989545885,13.051556239474081,0.1525301083759487,17.42495250158328,0.07723219040236586,-0.028544440954860084,0.06572197692513447,0.7405777139543991,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,75670.73627236778,0.5134147254473557,0.14797010126234977,-0.2649314328776781,0.22219334854080885,0.1610252403889443,0.7340290877696969,1.0137290321715922,0.559650564094321,0.942919649182857,64243.12991271121,89369.56405966666,5.638447971781306,11.0,245.33333333333334,19646.0
dev,sens_exit_rule=E_pricevol,exit_rule,E_pricevol,False,2879,0.33310177144841957,0.05524574362205215,-0.023218180492134536,-0.010088942893652142,0.0029182916250954176,2.688730963598445,1.1884694408147438,8.401761588649707,0.0586616741317367,8.369572768322334,0.046916410236742694,-0.02211490966968933,0.04140272976921964,0.6935925583780694,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,82597.64555166815,0.651952911033363,0.1810148889714315,-0.24441764625504972,0.20398170313187527,0.14857670151173463,0.9140643134869432,1.2582367692225742,0.755251022131857,0.9306506121707593,65733.05694252689,93075.90403366665,5.283068783068783,10.0,432.6666666666667,19646.0
dev,sens_exit_rule=F_chandelier,exit_rule,F_chandelier,False,1636,0.38753056234718825,0.08263427331986643,-0.03858879015910212,-0.01615230344602636,0.008388851800351465,4.16451368362374,1.3549416282004259,13.724161545374997,0.1318272992873241,17.108190709046454,0.08076194499150827,-0.03206579589618142,0.06343846062223547,0.7352088433165576,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,79109.70293148387,0.5821940586296774,0.16364085902362513,-0.2375413513528861,0.1941113678894436,0.1383308300201599,0.8677119421276017,1.2183894819447056,0.6941850115158603,0.9172028029800691,61657.67902696164,89021.84013466667,6.634920634920635,14.0,285.0,19646.0
dev,sens_exit_rule=T10_time,exit_rule,T10_time,False,2975,0.5415126050420168,0.04520301725005652,-0.044341548989769566,0.004360058940681366,0.00414796234211609,3.7177004982854043,1.204031181443465,12.340187967795368,0.0723193486304829,9.9381512605042,0.04456163389506007,-0.04158941717505536,0.025911341135004057,0.6170579291881185,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,76972.4741682592,0.5394494833651842,0.15252740414635793,-0.2967878062319928,0.21532379835860946,0.15683872648912103,0.7627823949544829,1.0509385939205487,0.5084799839836988,0.9783968200573946,66785.09113668915,91753.08318433333,6.71031746031746,11.0,510.0,19646.0
dev,sens_exit_rule=T20_time,exit_rule,T20_time,False,1813,0.5239933811362383,0.06934292036580039,-0.06131193716823617,0.004266751831841997,0.007150343392897168,3.350568297825863,1.2450015712095464,12.963572571322565,0.10749382357841106,19.787644787644787,0.06662839032132499,-0.06116180735772038,0.045161044204833335,0.7103001802936012,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,81975.60878441633,0.6395121756883263,0.17492998513014282,-0.2994667949066562,0.2390284962878175,0.16774609054033496,0.7853383872522807,1.1275872140550451,0.5982327564773456,0.9913143553239855,72245.97907962876,96890.133992,6.200176366843034,11.0,236.66666666666666,19646.0
dev,sens_trigger_volume=None,trigger_volume,None,True,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,88298.25147849729,0.7659650295699457,0.20505549568824954,-0.2431850014294871,0.20194140648714443,0.14544552141690095,1.0162080931379947,1.418745233328461,0.873446111592882,0.9335708872636942,67960.07345974163,100807.24986033332,5.265432098765433,10.0,372.3333333333333,19646.0
dev,sens_trigger_volume=1.0,trigger_volume,1.0,False,1814,0.33461962513781696,0.06331078488532445,-0.026652034945261447,-0.013170671884154439,0.003451290102790173,2.215708519709744,1.1946171483084809,6.260640246461374,0.07635933021380674,10.62348401323043,0.055373930715802544,-0.024543178583697242,0.04876140800645981,0.7329611068938674,0.0033759659913165196,7079,-0.0009578959406565403,50000.0,68301.16414337316,0.36602328286746316,0.1086078833157685,-0.20146541199038528,0.19874353183747395,0.14519716562226762,0.6208959578174514,0.85284795510858,0.5571115361483642,0.9065893376016341,56150.277321719135,76463.28538666667,5.160052910052911,9.0,363.3333333333333,7101.0
