period,model,grouping,group,atr_pct_range,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,tickers,median_ticker_cagr,median_ticker_max_dd,median_ticker_sharpe,median_bh_cagr,pct_tickers_profitable
dev,FINAL,signal-time ATR% quartile,Q1 low,0.008-0.019,636,0.3018867924528302,0.033219075236186474,-0.015997559657709323,-0.008415896247179977,-0.0011397076142690811,-0.8597172305440186,0.8979498007758647,-0.7248540426751356,-0.04245659968969074,8.45754716981132,0.030880102460691693,-0.014904735978731046,0.030752631359248127,0.827963026434578,,,,,,
dev,FINAL,signal-time ATR% quartile,Q2,0.019-0.023,635,0.31496062992125984,0.05477445987773292,-0.021808200122400843,-0.012541772540150986,0.0023123227122869546,1.0923241130941765,1.1547793753062712,1.4683249223022161,0.07672268955973746,9.615748031496063,0.04222473627645443,-0.019942116989659146,0.03842171859357527,0.7032443338385085,,,,,,
dev,FINAL,signal-time ATR% quartile,Q3,0.023-0.030,635,0.3291338582677165,0.0616917857327964,-0.02410980212848647,-0.010826494976902357,0.004130405529794032,1.6995043263465244,1.2553660586414384,2.62280751141921,0.10128638486504483,9.746456692913386,0.05343420745759347,-0.023037966265507533,0.047293071276008465,0.703663150803393,,,,,,
dev,FINAL,signal-time ATR% quartile,Q4 high,0.030-0.088,636,0.3474842767295597,0.08874342428624524,-0.03354233258997866,-0.012689586352524485,0.008950045192482794,2.4754034703200327,1.4089224802824922,5.692228742419057,0.13492905543376996,10.306603773584905,0.07751865440156873,-0.03293027647071276,0.06754525766243674,0.6714950111249893,,,,,,
dev,FINAL,vol_bucket,High,,649,0.32973805855161786,0.05949712168230134,-0.02247671897759651,-0.00991019472686383,0.0045531760936178825,1.9214706997575806,1.3022295823967582,2.9550112847580055,0.10289316867749324,9.624036979969183,0.04963688329646573,-0.02174526121191255,0.043418328052935815,0.6807030763028432,25.0,0.02685761717663593,-0.20006011931055956,0.26976836548973254,0.1184006182737245,0.68
dev,FINAL,vol_bucket,Low,,670,0.3164179104477612,0.04099100779197329,-0.01920980119848659,-0.009679678471502806,-0.00016118701046048185,-0.10422171005232334,0.9877251414897391,-0.10799529700852284,-0.018685385063544134,9.4044776119403,0.03643085353587267,-0.018056792598786692,0.034147254515451586,0.7633610456505241,25.0,-0.01766697560200947,-0.1867194413775658,-0.041709438466672376,0.09363828958772236,0.44
dev,FINAL,vol_bucket,Medium,,628,0.3248407643312102,0.05401955708110712,-0.021910262711673192,-0.011492806526759214,0.0027548379853446136,1.1892413592629683,1.186226836095757,1.7300382547964173,0.0520214443479153,9.434713375796179,0.04531382538883547,-0.020613207076915125,0.040745752713251544,0.7116346066385028,25.0,0.013494680602791798,-0.20502797797437944,0.1644543743553222,0.05530225849652459,0.52
dev,FINAL,vol_bucket,Very High,,595,0.3226890756302521,0.09060607848881437,-0.03204693344648365,-0.016107333247728173,0.007531853598183942,2.0789885948438567,1.3469982710554664,4.481452890919446,0.14272322450985175,9.67563025210084,0.07496629775275362,-0.031192607013203498,0.0669711093339314,0.7007585526931113,25.0,0.03319579286912333,-0.2854596756925988,0.2721305785652674,0.059754050118923985,0.56
dev,SPY_only,signal-time ATR% quartile,Q1 low,0.008-0.018,554,0.3176895306859206,0.032419933174245325,-0.01615343963198914,-0.008264878370421114,-0.0007221876213442577,-0.5056962876806239,0.9344756091759112,-0.4000919422247188,-0.026579394357133107,8.754512635379061,0.031508509497048844,-0.014636484268080632,0.030885998678213736,0.8331225799025141,,,,,,
dev,SPY_only,signal-time ATR% quartile,Q2,0.018-0.023,553,0.30198915009041594,0.055724247869735906,-0.021047706181671195,-0.012858146253824976,0.0021365909730936983,0.9500885660476655,1.1454301470703683,1.1815348081208152,0.06862505847031992,9.540687160940326,0.042213307931911116,-0.019649924023079614,0.03825832781870643,0.7138012252314467,,,,,,
dev,SPY_only,signal-time ATR% quartile,Q3,0.023-0.029,553,0.34177215189873417,0.060940191959008974,-0.0243769540177375,-0.011507380803392087,0.004782070556593569,1.8804363559527795,1.2980302102109704,2.6444850177962436,0.11985972936671996,10.150090415913201,0.05384087746275371,-0.022547692036267265,0.0474692244950404,0.6861852319722405,,,,,,
dev,SPY_only,signal-time ATR% quartile,Q4 high,0.029-0.067,554,0.3285198555956679,0.08430655621629424,-0.03122243193480299,-0.014960743201961113,0.006731134569709097,1.9117284004953632,1.3210616035427274,3.72904855161884,0.1282565252839569,10.131768953068592,0.07332034551562369,-0.030680377533244554,0.06676195719484071,0.7054659659870045,,,,,,
dev,SPY_only,vol_bucket,High,,558,0.33691756272401435,0.058645552897838585,-0.0225649898681639,-0.010091329694737028,0.004796268268051997,1.8825421076102524,1.320553703146839,2.676317693573014,0.1131414798929093,9.917562724014337,0.05015234487561125,-0.02122959620437194,0.04406114843190692,0.6931225586352533,25.0,0.03260730897891473,-0.1918492795793444,0.31689419908892574,0.1184006182737245,0.68
dev,SPY_only,vol_bucket,Low,,560,0.325,0.039428496975537415,-0.01846613921283502,-0.009646225034283862,0.0003496175483860202,0.21418542107369248,1.0280487392391604,0.19578582709617132,-0.007045126959628493,9.726785714285715,0.035943364987988065,-0.01684390027488979,0.033223337951328785,0.7556275459924284,25.0,-0.0014840654797242392,-0.18094140063481523,0.034178643183263496,0.09363828958772236,0.44
dev,SPY_only,vol_bucket,Medium,,577,0.31022530329289427,0.05153711490776099,-0.02171336905891056,-0.012427527320316378,0.001010784546001409,0.4793256730160146,1.0674876211867437,0.583222683042813,0.032128420043057125,9.233968804159446,0.04344504983510746,-0.02041997677142071,0.04081237821748818,0.7490020455489443,25.0,-0.00044012810690452486,-0.2002546621803175,0.0721631905632655,0.05530225849652459,0.48
dev,SPY_only,vol_bucket,Very High,,519,0.3179190751445087,0.08755668594970085,-0.030359330367518245,-0.0158920525873677,0.0071284204847768436,1.9447761632912266,1.344243078759786,3.6996502315991817,0.15960586735963012,9.716763005780347,0.07324097034980508,-0.02963352155234182,0.06588373082047888,0.707779378673513,25.0,0.03745304031774199,-0.28345896319356023,0.27235954566874715,0.059754050118923985,0.68
oos,FINAL,signal-time ATR% quartile,Q1 low,0.010-0.018,783,0.3001277139208174,0.04420395334792103,-0.01687406561151919,-0.009386358280178642,0.0014571405895899428,0.957544223834882,1.123385159274282,1.1409410816489252,0.07469379260740958,9.403575989782887,0.03512717755714391,-0.015376404224991034,0.03184564064817578,0.7402490906907311,,,,,,
oos,FINAL,signal-time ATR% quartile,Q2,0.018-0.022,783,0.3065134099616858,0.05094923639285778,-0.02047498657288717,-0.01143683691298858,0.0014174955622070708,0.789893324652867,1.0998297571767337,1.1098990252081364,0.04967789748712373,9.177522349936144,0.041922619328058665,-0.019227820610793984,0.03828157274342351,0.7405704853550067,,,,,,
oos,FINAL,signal-time ATR% quartile,Q3,0.022-0.027,782,0.31841432225063937,0.07671196787852434,-0.02454155700567875,-0.013678331884126926,0.007699015495813023,2.8142177407243345,1.4602699537947101,6.0206301177257835,0.20928620725794816,10.42071611253197,0.05742035872607496,-0.022696847090799995,0.0454046090303546,0.6739217441090526,,,,,,
oos,FINAL,signal-time ATR% quartile,Q4 high,0.027-0.087,783,0.3269476372924649,0.10774294435500878,-0.03259762776842907,-0.015691964304929473,0.013286390703601702,3.005955620077842,1.605580901130133,10.403243920920133,0.1902226431497808,10.422733077905491,0.08161839617582652,-0.03145678278916071,0.06696711071887045,0.6584118146539597,,,,,,
oos,FINAL,vol_bucket,High,,857,0.2928821470245041,0.07816270204378402,-0.0243774417500633,-0.013212092097817485,0.005654735720480084,2.1758129924213043,1.328044214623031,4.846108512451432,0.13342534469441641,9.828471411901983,0.053949873342981985,-0.023632508675779523,0.04569724600925609,0.6698589295354422,25.0,0.008978269241063153,-0.24535929954921198,0.13413223549719513,0.2038393538533616,0.52
oos,FINAL,vol_bucket,Low,,813,0.3062730627306273,0.041102762517998714,-0.018217629154734422,-0.010224034644341073,-4.9391114746041873e-05,-0.033867597866450425,0.9960918753003308,-0.04015497628853204,0.012308996710198732,9.457564575645756,0.036616998847495565,-0.01695725414244979,0.03444421554311317,0.7959952706191843,25.0,-0.01554446427649403,-0.21984647645123667,-0.1066610223220195,0.08026876369037761,0.4
oos,FINAL,vol_bucket,Medium,,711,0.31645569620253167,0.05547365775444842,-0.021431620521597698,-0.01057237178563486,0.0029054928568979094,1.4562062747440097,1.1983344392698407,2.0658054212544137,0.09739253880428742,10.059071729957806,0.04532319350221089,-0.020161775599424857,0.03976960063419782,0.7349011885297866,25.0,0.011912500415864002,-0.20032914660522383,0.15729527751492742,0.11777303278660578,0.6
oos,FINAL,vol_bucket,Very High,,750,0.34,0.10574204099199903,-0.030628818716917344,-0.014135884168359258,0.015737273584114222,3.4746723572102276,1.7784940756515213,11.802955188085665,0.2885204629168782,10.126666666666667,0.08121395145674001,-0.028133831188256395,0.06378442714312359,0.6356400498998501,25.0,0.05294061378485182,-0.2942082151127894,0.3850038239519887,0.18750369759984165,0.6
oos,SPY_only,signal-time ATR% quartile,Q1 low,0.010-0.018,759,0.3069828722002635,0.04457858909646192,-0.01671957371412842,-0.00905141901133677,0.002097912366065981,1.3454734729030942,1.1810581898985386,1.5923154858440793,0.10080289517977449,9.595520421607379,0.035668998974799374,-0.01519793787717584,0.03190412919408053,0.7229719674818521,,,,,,
oos,SPY_only,signal-time ATR% quartile,Q2,0.018-0.022,758,0.2994722955145119,0.05211231959197867,-0.02032774928885211,-0.01128488904139019,0.0013660444261196377,0.7425455277201789,1.0959290651958336,1.0354616749986854,0.04677382104534324,9.135883905013193,0.041687449116721696,-0.019167906085611534,0.038238076569355996,0.7424409156655453,,,,,,
oos,SPY_only,signal-time ATR% quartile,Q3,0.022-0.027,758,0.32717678100263853,0.07620480471345144,-0.02453618364923343,-0.013529265744173125,0.008423928638294066,3.0207022238103516,1.5102778242326573,6.3853379078269015,0.22940427295760232,10.736147757255937,0.05820284727840645,-0.022530655354169912,0.04575261204443869,0.6666258569669476,,,,,,
oos,SPY_only,signal-time ATR% quartile,Q4 high,0.027-0.087,759,0.31620553359683795,0.10031585671204812,-0.03237940793398847,-0.01619834153423172,0.009579569029185156,2.3198321924229797,1.4326647222318538,7.270892893151533,0.14839850219486547,9.79973649538867,0.07761715081989581,-0.03131698103064672,0.06652564249622048,0.6970195838902637,,,,,,
