model,period,feature,mean_winners,mean_losers,median_winners,median_losers,corr_with_return,q1_expectancy,q2_expectancy,q3_expectancy,q4_expectancy,q5_expectancy,q1_n,q2_n,q3_n,q4_n,q5_n,q5_minus_q1,dev_quintile_edges
FINAL,dev,sig_atr_pct,0.02595840056726669,0.025210451680657487,0.023795402385069643,0.023124723013258047,0.08345920405131005,0.000198628013808904,0.0007512815357386192,0.0015045743841869972,0.007051577136875163,0.008308898785033042,509.0,508.0,508.0,508.0,509.0,0.008110270771224138,0.01736 / 0.02145 / 0.02533 / 0.03198
FINAL,dev,sig_ext,0.02016880435380417,0.01865835311385287,0.015647557546691566,0.012934316067385456,0.03952613908410134,-0.0019338474897606021,-0.0014427146667133238,0.006248305580409808,0.004971639878179497,0.009972499535325138,509.0,508.0,508.0,508.0,509.0,0.01190634702508574,0.00532 / 0.01051 / 0.01801 / 0.02984
FINAL,dev,sig_ext_atr,0.763121181555607,0.7152094222087774,0.6261238648012233,0.5689626911608191,0.02528706031288031,-0.0005121663226897391,0.0010215452066856161,0.00741406445276194,0.0030611679738555674,0.006834649811387892,509.0,508.0,508.0,508.0,509.0,0.007346816134077631,0.2362 / 0.4624 / 0.7279 / 1.141
FINAL,dev,sig_pb_depth,0.06307600724801724,0.060942988762695105,0.057886987686278174,0.054170465913431956,0.0392197133010457,0.003262394589687371,-0.0015238394169848407,0.0012938229922935087,0.005107778447974376,0.009666100549089762,509.0,508.0,508.0,508.0,509.0,0.006403705959402391,0.03634 / 0.04877 / 0.06263 / 0.08244
FINAL,dev,sig_pb_depth_atr,2.465785379085511,2.4484609211440183,2.426640483390254,2.398553632747061,-0.01860262746603342,0.007980090471481053,0.001558517440473532,1.918610379307212e-05,0.007630548715523845,0.0006264222701531295,509.0,508.0,508.0,508.0,509.0,-0.007353668201327923,1.836 / 2.235 / 2.58 / 3.03
FINAL,dev,sig_pb_vol_ratio,1.006755864535955,0.9865215208632948,0.944440202183096,0.9185634323437326,0.00621130078772565,0.0025948857825143596,0.0014913101495559334,0.008898006873531287,0.0008504334428712759,0.003984119908563106,509.0,508.0,508.0,508.0,509.0,0.0013892341260487466,0.741 / 0.8655 / 0.9956 / 1.192
FINAL,dev,sig_range_atr,1.0385947531214579,1.0386846200482838,0.9369920953327361,0.9154922064174328,-0.04088098311559793,0.006045253720891528,0.0016501599967437093,0.004819114168732867,0.003129758726057304,0.002171246130908344,509.0,508.0,508.0,508.0,509.0,-0.0038740075899831843,0.6524 / 0.835 / 1.023 / 1.336
FINAL,dev,sig_clv,0.6745239244403495,0.6723505452541857,0.7548510248388491,0.7455445882744016,0.004426465925521809,0.003927532116799173,0.002128174201973916,0.004056566117128061,0.002837441439296073,0.004864685565320938,509.0,508.0,508.0,508.0,509.0,0.0009371534485217653,0.4248 / 0.6714 / 0.8095 / 0.9164
FINAL,dev,sig_body_frac,0.4988341632610206,0.4966886743364946,0.524688659063945,0.5157880128458836,0.00044872342653110394,0.006704014546979197,8.501476644620532e-06,0.0021445559522297697,0.001962520613569228,0.0069851671581366934,509.0,508.0,508.0,508.0,509.0,0.0002811526111574968,0.2281 / 0.4357 / 0.5976 / 0.7486
FINAL,dev,sig_vol_ratio,1.0509843346662928,1.0599805011309607,0.9426923217869903,0.9313140270305961,-0.053889814167461275,0.004973453784325283,0.0062180388685483924,0.004035907489983341,0.0036958309993945005,-0.0010991507673531419,509.0,508.0,508.0,508.0,509.0,-0.006072604551678425,0.7254 / 0.8635 / 1.023 / 1.241
FINAL,dev,sig_ret_20d,0.028125366782231445,0.026441224895035732,0.023848500415471152,0.02126405209091764,0.01839274165688351,0.0031258707423403548,0.004407062979829832,-0.0019961990862390503,0.0031928929109804895,0.009078055931025343,509.0,508.0,508.0,508.0,509.0,0.005952185188684988,-0.007016 / 0.01249 / 0.03076 / 0.05663
FINAL,dev,reg_vix,23.058467204379557,22.24012214476744,22.049999,21.58,0.09193386229690713,-0.0008074977546666204,0.0017448740998242552,0.00567006062815759,-0.004832140115442519,0.015796778085959085,505.0,511.0,507.0,504.0,515.0,0.016604275840625706,16.86 / 19.97 / 23.11 / 26.86
