period,model,risk_per_trade,cost_bps,gate,exit,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals,pf_min_sharpe,pf_max_sharpe,tr_trades,tr_win_rate,tr_avg_win,tr_avg_loss,tr_median_ret,tr_expectancy,tr_t_stat,tr_profit_factor,tr_sum_ret,tr_avg_R,tr_avg_hold,tr_avg_mfe,tr_avg_mae,tr_avg_giveback_pp,tr_giveback_pct_of_peak
dev,FINAL,0.005,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,74964.64734915679,0.49929294698313564,0.14361865658182987,-0.1924515362882255,0.174651879211051,0.1260355175166438,0.8515921107445615,1.182685597901001,0.7470924541654966,0.9105449902804409,59166.244555709396,80482.50131990001,8.544973544973542,18.0,598.9,19646.0,0.6255237305207035,1.2509460549943847,598.9,0.37936216396727335,0.07371136017912601,-0.027667963493245903,-0.009460153028504559,0.010791516116643727,10.060917247360328,1.628444633042121,64.63039002257928,0.17313553219810865,10.786441809984973,0.06499881632785437,-0.025137593408688524,0.050801017270711464,0.6323132539179681
dev,FINAL,0.01,0.0,none,B_close<EMA20|stop=atr1.5,50000.0,87643.6490148815,0.7528729802976301,0.20334683304544746,-0.2178448560175878,0.2002617519083186,0.14401206694099228,1.0173351366973145,1.4189626976776808,0.9421219723413696,0.9326782290476636,66836.54990922369,95588.64663890001,5.420767195767196,10.0,387.6,19646.0,0.557616485367239,1.4005382147479413,387.6,0.3733230134158927,0.07743912626133115,-0.0282320946491917,-0.00943973333620407,0.011217403972461185,8.093890207678239,1.6340237297680578,43.47865779725955,0.19166756053250886,10.573013415892673,0.06465110607159763,-0.026167263419738844,0.05085112323636318,0.6219340429158108
dev,FINAL,0.01,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,82675.7130055292,0.6535142601105841,0.1794080348857629,-0.2260084597002968,0.20093588932865258,0.14533752972750175,0.9128627137400647,1.2670894522319576,0.8021222153404729,0.9328535345160989,64859.274059818126,91999.44348399999,5.405291005291005,10.0,386.1,19646.0,0.4368153210103728,1.4036304476491392,386.1,0.36337736337736337,0.07873521359047686,-0.028706679431430227,-0.010313369476518952,0.010335272371143107,7.44149199365713,1.5655316169187583,39.904486624983534,0.16739370150647165,10.583786583786583,0.06477690710952919,-0.026131139034989988,0.050883734377751386,0.620596062174892
dev,FINAL,0.01,15.0,none,B_close<EMA20|stop=atr1.5,50000.0,72500.46458791112,0.4500092917582226,0.1287825258174841,-0.24606268274068266,0.20153679561419463,0.14733878579945067,0.693748144395433,0.9541178865060811,0.536901111511488,0.9331074705228384,60484.35826191561,83465.2983629,5.410714285714286,10.1,386.5,19646.0,0.1812637909897274,1.1361133044099294,386.5,0.33816300129366106,0.08213022326851974,-0.029558189065152847,-0.012289626959603228,0.008210699659325823,5.938970636151203,1.4197119182034292,31.734354183294307,0.11016781999524194,10.583441138421733,0.06471706723754514,-0.026165864775134797,0.05090045244280729,0.6223350723390363
dev,FINAL,0.015,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,93596.04275725705,0.8719208551451414,0.22923113162940484,-0.22650450767586278,0.21446253578716065,0.15256289362726966,1.0588292100595393,1.4929349222568085,1.023060726148195,0.9385308771277329,72200.96761861705,104716.4338314,4.4070105820105825,7.0,315.7,19646.0,0.7066375409624244,1.47533558491699,315.7,0.36617041495090275,0.07892942212579739,-0.028359380478484315,-0.010034747764036234,0.010926604890711015,7.109612751364382,1.6078773942157452,34.495291639974674,0.18415144959606072,10.55337345581248,0.06510693778361579,-0.025858372218443768,0.05037446555222568,0.6176993977566816
dev,SPY_only,0.005,5.0,spy200,B_close<EMA20|stop=atr1.5,50000.0,66310.51574433982,0.32621031488679614,0.09814566183542786,-0.11915143083321371,0.14006159734458304,0.10122875436865234,0.7358778549868252,1.018973044544099,0.8423374111795725,0.6712633968145244,41089.8091159205,74431.37863020001,5.609920634920635,11.7,376.0,16839.0,0.4976971913420496,1.052374084704074,376.0,0.37207446808510636,0.06775962393699135,-0.02613646250104496,-0.010393697294344806,0.00879987391566057,7.37976426981928,1.5361934455386719,33.08752592288374,0.17749227307290083,11.279521276595744,0.06232933227003918,-0.023077952171407855,0.05052417324445742,0.6691047247491234
dev,SPY_only,0.01,0.0,spy200,B_close<EMA20|stop=atr1.5,50000.0,73129.92051734868,0.46259841034697374,0.1337860801635164,-0.13799340556348128,0.1587432582664479,0.11190396306725026,0.866201792657915,1.232239862686356,1.0049462403211156,0.6728759732709582,44035.48730151231,82866.4655219,3.485449735449735,7.4,240.8,16839.0,0.4419080174912844,1.2637955519359703,240.8,0.37250830564784054,0.06876574880141688,-0.026000971743638704,-0.010394618225715302,0.00930041875840235,5.9635544147119335,1.5700394893500675,22.395408370232857,0.19718771940133184,10.942691029900333,0.06206643292125766,-0.023584929109491032,0.05046567870941434,0.6677335363933913
dev,SPY_only,0.01,5.0,spy200,B_close<EMA20|stop=atr1.5,50000.0,70171.54314345731,0.4034308628691461,0.1181382455721123,-0.14313566323941412,0.15905586594475157,0.11279015081531614,0.7771301419638246,1.099519855919887,0.8614034666292341,0.6730426934282012,43073.53553331574,80023.4420635,3.490343915343915,7.4,240.3,16839.0,0.33818300481693814,1.1960592459846904,240.3,0.36745734498543486,0.06929768333458827,-0.026673801091872066,-0.011174923897390054,0.008591625769786058,5.493149735035036,1.509214341405794,20.645676724795898,0.17262978077403282,10.980857261756139,0.062472936102251395,-0.02357797842299471,0.05054030852435888,0.6655772057789842
dev,SPY_only,0.01,15.0,spy200,B_close<EMA20|stop=atr1.5,50000.0,63864.73189258077,0.27729463785161557,0.08344753353501004,-0.15363821173096767,0.1594717279874583,0.11462356544688343,0.5776798763070021,0.8070194196878763,0.5777217661851612,0.6732898182018733,41015.68957021799,73709.856715,3.490608465608466,7.4,239.9,16839.0,0.13254647522250912,1.0294911635704143,239.9,0.34514380992080035,0.07137618055691446,-0.027621408999238834,-0.013074596070151046,0.006546996233147543,4.191892324818143,1.3619514537822508,15.706243963320956,0.11109443880009949,11.0,0.0623827801532783,-0.023541854323190385,0.050551612099651595,0.6658685083508723
dev,SPY_only,0.015,5.0,spy200,B_close<EMA20|stop=atr1.5,50000.0,72352.40549921771,0.44704810998435435,0.13003265489341576,-0.16648987939369397,0.1688755966179613,0.11938415805307516,0.8042075959598032,1.1402326492075954,0.7979423424102687,0.6748469478508408,43775.541061989155,82467.81531120001,2.9858465608465607,5.6,206.7,16839.0,0.49610981014208666,1.1281663722658655,206.7,0.36574746008708275,0.06985128575142903,-0.026885951424002522,-0.011386584993910986,0.008495447368753286,4.97980110337598,1.4981941562053027,17.560089711213042,0.1757385145409149,10.920657958393807,0.06180605883885665,-0.023554238006317545,0.049736001454597834,0.6555204606781994
dev,SPY_VIX,0.01,5.0,spy200+vix_noshock,B_close<EMA20|stop=atr1.5,50000.0,64142.753442956135,0.2828550688591228,0.08490203139764523,-0.14466044049724436,0.14672859421158507,0.10471887169261965,0.6236450299259351,0.881992342158501,0.6814362716525106,0.6409857024890571,39892.690914245635,73911.65498239998,3.330026455026455,6.9,218.8,15928.0,0.13376390859571324,1.2037152553478117,218.8,0.33775137111517367,0.06926679489124965,-0.02487124735248996,-0.01163354404097905,0.006924005489431235,4.6944660478565385,1.4203768281332867,15.149724010875541,0.1423530857912407,11.505941499085923,0.059588020425064496,-0.0228450745344483,0.0495446077476703,0.7058468684933336
dev,SPY_VIX_BREADTH,0.01,5.0,spy200+vix_noshock+br50_40,B_close<EMA20|stop=atr1.5,50000.0,61247.74528341681,0.22495490566833604,0.06816848501350199,-0.15287217964407054,0.14155100533158652,0.10261309421140766,0.5218277153856341,0.7290967173459073,0.4792755050472549,0.6290731242918853,37757.46734922142,70867.1963888,3.2632275132275135,7.0,211.7,15666.0,0.07248105482123626,0.9780434805839862,211.7,0.3490788852149268,0.06482592054096735,-0.024922681070163596,-0.011507380803392087,0.006406660729848578,4.495774941623686,1.3949195256199365,13.56290076508944,0.13648839157937492,11.653282947567313,0.05950106303592995,-0.022924212033062028,0.04996922914189898,0.7166923552371074
dev,ONOFF,0.01,5.0,onoff_v1,B_close<EMA20|stop=atr1.5,50000.0,58780.89855622382,0.17561797112447658,0.053882127868757956,-0.12553904135839028,0.11929994668331238,0.08523510725180125,0.49197162009948237,0.6997309988156233,0.5316967160299054,0.5364110031887235,31338.925661756213,66208.69271440001,3.429100529100529,8.0,218.3,15928.0,-0.06522385438987989,1.04272355945912,218.3,0.35135135135135137,0.06801131041756417,-0.02503565013004339,-0.011086302856535002,0.007656525197494402,5.234350424493516,1.4714800541690618,16.71419450613028,0.15937511427669604,11.875400824553367,0.06102369815259437,-0.022719406229050585,0.05032464028650614,0.6980233276589103
dev,A_full_hypothesis,0.01,5.0,spy200+vix_noshock+br50_40,B_close<EMA20|stop=atr1.5,50000.0,54389.02926775658,0.08778058535513159,0.028041121823013614,-0.18612183003728905,0.13268521445964748,0.09804019620248357,0.26978771699115545,0.3670214510113312,0.1633115299730032,0.5367408035029637,31006.284715343783,65901.1650455,2.5611111111111113,6.2,167.5,891.0,-0.08386465416436793,0.41927185989852694,167.5,0.31044776119402984,0.06737556438931484,-0.024823035869729917,-0.015009318079715839,0.003799813165913832,2.7717226926158594,1.2219934576043152,6.364687052905669,0.08166184921626202,11.559402985074627,0.054506874713143444,-0.023203002732576476,0.04805123367844201,0.7126747875971938
dev,C_breakout,0.01,5.0,spy200,D_swinglow|stop=atr1.5,50000.0,67171.89894145986,0.3434379788291975,0.10341280108100678,-0.11138171184013301,0.10207199809254472,0.06828433821075053,1.0104328485448755,1.511426209238651,0.9380871221137708,0.3676037846624896,23042.964302178698,70145.99965920001,1.7359788359788362,5.1,60.8,107.0,0.8350863294027016,1.151808814178535,60.8,0.44901315789473684,0.10023604458923735,-0.03426032125201674,-0.021335875875881927,0.026130316699730583,6.826576565277468,2.3842419759442577,15.887232553436196,0.6994410460065631,21.585526315789473,0.09704339558879767,-0.02652366360162538,0.06684954271872952,0.6008201623971454
dev,B_failed_breakdown,0.01,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,51774.178061397964,0.03548356122795918,0.011346259473395204,-0.17736865009169986,0.14602582767804181,0.10489489412722328,0.14823061813142374,0.20784841990500036,0.06928417299759393,0.5295933466994736,26199.27754457963,55598.6002375,2.355555555555555,9.5,546.0,942.0,-0.04583792858395227,0.29804210385459246,546.0,0.43131868131868134,0.023678991143938906,-0.0190332219013409,-0.002653214216597033,-0.0006106464944482357,-1.1248523618148747,0.9435831809656746,-3.3341298596873665,-0.0029746041115201534,3.2615384615384615,0.02634922507887688,-0.018241658217670747,0.01638848134099356,0.5112861949226981
dev,REF_random_uptrend_day,0.01,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,64538.33259625409,0.29076665192508183,0.08672525471656914,-0.2975976492672266,0.20746133843046013,0.15295191389105997,0.49742593715736716,0.6797309368001858,0.2943800193516483,0.9463434927038268,59865.2604552254,81719.8431537,5.4903439153439155,10.6,499.7,28269.0,0.1894336933536804,0.9328792393049161,499.7,0.37742645587352414,0.06115086013867193,-0.028435228695850287,-0.008749122250562125,0.005376931308534122,5.021198679384282,1.3037295880724264,26.868525748745004,0.08031033876612247,8.306383830298179,0.053088573527982304,-0.025448896124207563,0.04390062172207043,0.6121033431189362
dev,REF_random_every_day,0.01,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,55637.812721200404,0.11275625442400808,0.033205174768594505,-0.34421940451038235,0.2542130305178306,0.1840899582912024,0.24825311248819287,0.3458047509018799,0.09867568844488689,0.9754397757654745,54563.071723832145,68115.31741699998,5.883597883597883,13.9,978.4,75500.0,-0.19205757097339815,0.5327965991650352,978.4,0.43070318887980374,0.0403845918851991,-0.026792585157965315,-0.004436459065120024,0.0021408392144687425,3.726961050294075,1.140355902269508,20.945970874362178,0.022569468342288315,4.546197874080131,0.03990376669339789,-0.02495075735662255,0.026863842712830745,0.5632859844970447
dev,ONOFF|cap_reduced=0.25,0.01,5.0,onoff_v1,,50000.0,57774.50552578899,0.1554901105157797,0.048189709412522486,-0.12378460276176864,0.1170389829253802,0.08288785610876752,0.45282922574019935,0.6492230310885041,0.47504732543965805,0.48839192084019406,28057.892138082145,64815.23973089999,2.8350529100529096,7.4,181.5,15928.0,,,181.5,0.3487603305785124,0.06498557041692908,-0.025124144599374693,-0.011545355992054085,0.006302549398046951,4.241484262385963,1.3851980916030653,11.439127157455216,0.13610822705599093,11.808815426997246,0.059150285761659725,-0.022688873886701603,0.04999079560316885,0.7100335666309998
dev,ONOFF|cap_reduced=0.5,0.01,5.0,onoff_v1,,50000.0,58780.89855622382,0.17561797112447658,0.053882127868757956,-0.12553904135839028,0.11929994668331238,0.08523510725180125,0.49197162009948237,0.6997309988156233,0.5316967160299054,0.5364110031887235,31338.925661756213,66208.69271440001,3.429100529100529,8.0,218.3,15928.0,,,218.3,0.35135135135135137,0.06801131041756417,-0.02503565013004339,-0.011086302856535002,0.007656525197494402,5.234350424493516,1.4714800541690618,16.71419450613028,0.15937511427669604,11.875400824553367,0.06102369815259437,-0.022719406229050585,0.05032464028650614,0.6980233276589103
dev,ONOFF|cap_reduced=0.75,0.01,5.0,onoff_v1,,50000.0,61916.09848914122,0.23832196978282436,0.07186211203073092,-0.1245662731939718,0.12672623758244655,0.09085032561067466,0.5982051130881176,0.8445630460590884,0.6567494047917866,0.586335434057485,35611.39525328837,69572.9878362,3.973412698412699,9.0,256.2,15928.0,,,256.2,0.34894613583138173,0.07177962698431377,-0.025026872378778233,-0.011383732905283384,0.008753381497335835,6.160794901453316,1.537220227943392,22.42616339617441,0.17337026291426708,11.724824355971897,0.06206451306651862,-0.022949115574141452,0.05046126663109272,0.6830820969349136
dev,COMBINED_C_breakout+FINAL,0.01,5.0,per-member,,50000.0,71769.050238755,0.4353810047751,0.12649487439742388,-0.23785666136813735,0.200563304410172,0.14632100111141907,0.6891703842810263,0.9462681495970005,0.5456761305772643,0.9325294433160692,61094.473178461114,82815.7533383,5.2896825396825395,10.0,384.9,19656.0,,,384.9,0.3580150688490517,0.07503894920805598,-0.028401350490297503,-0.011228846995575248,0.00863183552797506,6.5117470028645155,1.4734120750274293,33.223934947176005,0.12642306240350568,10.38971161340608,0.06259239523594307,-0.02593169343634095,0.05063996103893558,0.6351681897369499
