period,model,experiment,step,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,S0_candle_only,ladder_no_location,S0_candle_only,11215,0.4099866250557289,0.032443989354819035,-0.022348470461087913,-0.004706801671768734,0.00011570521733742297,0.24943118164217243,1.0087749223193871,1.2976340124391985,-0.0015218332126427584,4.226393223361569,0.032983302308567476,-0.02081803925743726,0.02519501019660878,0.5928193046731625,0.000562828782032695,24537,-0.003771033149940365,50000.0,64093.97082443093,0.28187941648861875,0.08257576535934893,-0.2828366343769149,0.2251604678762107,0.16689000226103828,0.456522912200702,0.6241142207151368,0.30963809675527143,0.9513264785775373,57303.49063537856,74524.4848152,5.800529100529101,13.2,707.4,24871.0
dev,A0_candle_only,ladder_with_pullback,A0_candle_only,3289,0.3049559136515658,0.05851067688392998,-0.02497717311595682,-0.012266445610977672,0.00048294045956353735,0.45979947368738927,1.0278187719651872,1.5883911715044743,0.006410733927825449,8.920644572818485,0.049872638114052445,-0.024154751890414605,0.047480781193779714,0.7694818273464833,0.001126026981787016,8010,-0.003207834950186044,50000.0,65105.71915488746,0.3021143830977494,0.08793673734098548,-0.2102325526824152,0.1849783468078074,0.1339229450307476,0.5406146842401509,0.753255237879909,0.44627338176552966,0.8742098212669474,51374.24609170423,70572.803143,4.76031746031746,10.4,368.4,8084.0
dev,S1_+stock_trend,ladder_no_location,S1_+stock_trend,2398,0.341534612176814,0.057275769612050165,-0.024131330069058824,-0.009860966358507528,0.00367201214896797,2.8357515469633046,1.2310946536185412,8.805485133225192,0.07109444299757817,9.522935779816514,0.05075928904874278,-0.02255449954485736,0.04559930672520157,0.7089954015897769,0.002426801468819408,9729,-0.001907060463153652,50000.0,67503.3414306252,0.3500668286125039,0.10426493962579952,-0.21186659177136571,0.20061382030720995,0.1458957797732677,0.5922646315339998,0.8149288410852463,0.4953559112490772,0.9017293216625408,56248.06670824735,75387.5693248,5.16005291005291,9.8,354.8,9778.0
dev,A1_+stock_trend,ladder_with_pullback,A1_+stock_trend,1606,0.30635118306351183,0.061919173629581166,-0.023914993032162154,-0.012855624947726796,0.00238040547193356,1.582223139116295,1.1434964084637358,3.822931187925297,0.03391842617231701,10.188044831880449,0.05050976175300792,-0.02258624598863729,0.04637487139566599,0.7471318148291367,0.0027265207611055315,4236,-0.0016073411708675284,50000.0,67413.32499781145,0.34826649995622916,0.10367217554652486,-0.21396870751945335,0.173679479288928,0.12351529152071276,0.6512132189460751,0.9176368146302109,0.5245004930282926,0.8196622402051643,51538.84779512354,73198.983797,4.309788359788359,9.4,297.6,4259.0
dev,S2_+volume,ladder_no_location,S2_+volume,1516,0.34564643799472294,0.061638900631531074,-0.027441508837104524,-0.012931190065451459,0.003348817390840759,2.0342004406361798,1.1864966386562876,5.076807164514591,0.08278073564591364,10.895118733509236,0.055717212142942125,-0.024536023905424538,0.049145608429458,0.7341884679163819,0.002016207892810242,3746,-0.002317654039162818,50000.0,61628.53220974859,0.23257064419497184,0.0720656701951441,-0.19731833201250665,0.1867092796322381,0.13670794735407998,0.46473163146677143,0.6352154848799858,0.3654169256962576,0.860075174341049,47153.34118092011,67595.8447776,4.81005291005291,8.0,316.2,3760.0
dev,A2_+volume,ladder_with_pullback,A2_+volume,755,0.32317880794701986,0.05800006190495682,-0.024412682149065758,-0.015009318079715839,0.002221370233956109,1.103721132508165,1.1344409284022612,1.6771345266368622,0.05356117001200664,10.927152317880795,0.05121252891779705,-0.022111742736029977,0.046083398260003426,0.7666032143249327,0.0033137251517639747,1068,-0.0010201367802090853,50000.0,62399.732700760665,0.2479946540152133,0.07527485676248862,-0.19243614484058869,0.15498893258036817,0.11064104246119184,0.5389493534459171,0.7592573534290207,0.43090503042790285,0.713241395243986,40905.03182278095,68471.407256,3.4306878306878312,6.2,230.2,1070.0
dev,S3_+SPY_regime,ladder_no_location,S3_+SPY_regime,1316,0.33814589665653494,0.06155284664797613,-0.02678848587539414,-0.013555764462262976,0.003083773222554014,1.7765369085491893,1.1739289999689972,4.058245560881082,0.08005801499040123,11.08434650455927,0.05534497674219654,-0.023982135742830424,0.04938197822673557,0.7538556330900833,0.0031555964228536116,3238,-0.0011782655091194484,50000.0,59535.72566365505,0.1907145132731009,0.058098979414126825,-0.16898844356260745,0.15816310805776018,0.11297941629672599,0.42757580151064545,0.6064626695712566,0.3908686121470858,0.6518178721551715,37228.69126457805,66575.3214382,3.653439153439153,7.6,236.8,3238.0
dev,A3_+SPY_regime,ladder_with_pullback,A3_+SPY_regime,663,0.31825037707390647,0.057079416914708275,-0.02421096403016986,-0.015328694281023236,0.0016597303580191084,0.7853380697035424,1.100554277257013,1.1004012273666688,0.035486975381598916,10.963800904977376,0.050224817936396125,-0.02176413079327169,0.04530995689358537,0.78177489596616,0.004349054371576486,937,1.5192439603426387e-05,50000.0,58994.543302275575,0.17989086604551163,0.05628609272112613,-0.2012809622537497,0.13673290995409443,0.09870523276387726,0.46558937611427104,0.6460740764490774,0.27900148756291127,0.5587273741588916,33269.17925493836,73645.988847,2.6605820105820106,6.4,175.6,937.0
dev,S4_+VIX,ladder_no_location,S4_+VIX,1252,0.3306709265175719,0.06359363435788339,-0.02667659960022941,-0.013798419664799721,0.0031731422996577286,1.769688129267678,1.1777130777753098,3.9727741591714762,0.08193714784895534,11.361022364217252,0.0561109487953504,-0.024062367094294407,0.05025405286146026,0.7542368479406764,0.0024218628690333126,3032,-0.0019119990629397473,50000.0,67164.0031386776,0.34328006277355166,0.10139679102056087,-0.16023919709718393,0.1494049474378382,0.10527983671924859,0.7023978573227454,1.0051770398466549,0.7035256170755615,0.629152456188066,39530.89464007249,76077.03747899999,3.3923280423280424,7.0,195.4,3032.0
dev,A4_+VIX,ladder_with_pullback,A4_+VIX,645,0.3147286821705426,0.0576061856709329,-0.024253015101515046,-0.015510386642775043,0.001510423281131361,0.7012531017045575,1.0908804312415794,0.9742230163297279,0.030477507141306995,11.029457364341086,0.0502597928700049,-0.02180966845201932,0.04544793993389457,0.7902762489116082,0.004437564654394223,898,0.00010370272242116261,50000.0,56016.585615524426,0.12033171231048864,0.037972492508728875,-0.2013342599950989,0.14141345190363555,0.10339419963675109,0.3272674482679091,0.4490246311922842,0.21398106268254602,0.5415056551444476,31107.526276666933,69783.5832142,2.5716931216931216,6.0,173.2,898.0
