period,model,tickers,tickers_traded,pct_profitable,pct_positive_expectancy,pct_beat_bh_return,pct_better_sharpe,pct_smaller_dd,median_ticker_return,p25_ticker_return,p75_ticker_return,median_bh_return
dev,FINAL,100,100,0.55,0.62,0.26,0.28,0.92,0.03588274645904921,-0.10805193351652376,0.22937328363515125,0.26812900393295436
dev,SPY_only,100,100,0.57,0.64,0.25,0.22,0.97,0.0345087510513028,-0.08977452182794377,0.20443584246545016,0.26812900393295436
oos,FINAL,100,100,0.53,0.59,0.18,0.1,0.78,0.022250501864420236,-0.13169812075436788,0.28921146443918366,0.6879421918636235
oos,SPY_only,100,100,0.55,0.59,0.18,0.08,0.78,0.03751372469553027,-0.15027744603668824,0.27190035408286395,0.6879421918636235
