period,model,family,gating,slice,slice_value,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,FAM_A_simple,FAM_A_simple,ungated,ALL,ALL,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532.0,-0.0012042472575182015,50000.0,86521.78046089699,0.7304356092179398,0.19757805309232626,-0.23337141386907523,0.20060826631221204,0.14430069541477716,0.9921286147945804,1.385658548362971,0.8710281654900414,0.9332839867234647,66607.55101216005,97532.2282702,5.328042328042328,10.0,377.6,19646.0
dev,FAM_A_simple,FAM_A_simple,spy200,ALL,ALL,2214,0.3224932249322493,0.058646144460127905,-0.02314558047281343,-0.011492374639220093,0.0032316966735822855,2.5357289013058297,1.206086181152822,7.15497643531118,0.07252087543240442,9.644083107497742,0.050222741734539396,-0.02187932390187578,0.04558558184880623,0.7217235827489807,0.0027565497376860755,16839.0,-0.0015773121942869845,50000.0,69870.42123165561,0.39740842463311193,0.11581416022375675,-0.1421467846928977,0.16043117589694972,0.1142476866826839,0.7560226333545368,1.065907292741559,0.8393110565350149,0.6726984860910801,42617.29016719365,78904.2383972,3.539417989417989,7.4,242.2,16839.0
dev,FAM_A_simple,FAM_A_simple,ungated,reg_market_state,BEARISH,414,0.34057971014492755,0.07372370598023854,-0.026957892076698586,-0.00900752014249262,0.007332217406461158,1.8323579475761176,1.4124649955766715,3.0355380062749195,0.06852999829465856,9.710144927536232,0.05968626597734833,-0.026948579032265548,0.049087858456521236,0.6488872699499437,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_market_state,BULLISH,2008,0.32121513944223107,0.05794438458401416,-0.022807081565098027,-0.011263733992626479,0.0031315118941536452,2.352077899185017,1.2022796541812353,6.28807588346052,0.07368193241447898,9.444223107569721,0.049215251439002315,-0.021544880346062528,0.04482344215609767,0.7192089165311553,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_market_state,MIXED,120,0.3,0.05749066128906291,-0.027794887650909022,-0.018744190835710328,-0.0022092229689174374,-0.47161946644893543,0.8864527587814881,-0.2651067562700925,-0.037304128910760605,10.375,0.0512558302614934,-0.02747157775521338,0.0520443352321217,0.8045045011043694,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,HIGH,499,0.2965931863727455,0.06616955787236815,-0.024925473292713628,-0.013460741332078974,0.0020926922632625313,0.6990802158244932,1.119359058458086,1.0442534393680032,0.0071206499705986775,9.178356713426854,0.051886299389641996,-0.025373336515822954,0.04858553084692727,0.7240576242731794,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,LOW,945,0.3343915343915344,0.05704151817157689,-0.02053837248958366,-0.009808113710320754,0.005403686186529286,2.967462265820621,1.395280378616418,5.106483446270175,0.15952654608620492,9.996825396825397,0.048288241480782465,-0.01941772294603573,0.04124565423015551,0.6888153136257787,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,NORMAL,798,0.2907268170426065,0.05173550526207868,-0.024716809875137857,-0.01268553833587438,-0.002490071639756608,-1.384038936497732,0.8579615628149203,-1.987077168525773,-0.08202364252737065,8.672932330827068,0.04541640114639693,-0.023218141991016433,0.047556141966940406,0.820499167120697,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_vol_regime,SHOCK,300,0.42,0.0795078006204603,-0.02944330725186813,-0.004672082277969558,0.016316158054509807,2.879981548895057,1.9554397795699148,4.894847416352942,0.2766577348767351,10.936666666666667,0.07306366308640837,-0.027254334568821908,0.05202425009250404,0.5565511676102056,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_breadth_state,NEUTRAL,622,0.34887459807073956,0.045348434272115185,-0.022670606026783228,-0.009323842782550162,0.0010595093186523917,0.49747975492825697,1.0717756298943377,0.6590147962017876,0.06309819579603924,8.839228295819936,0.044996913527963825,-0.021274387307521365,0.04283376524118944,0.7767343948866043,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_breadth_state,STRONG,1616,0.2939356435643564,0.0585893377042557,-0.022850305953909137,-0.012135092642499512,0.001087708116405402,0.7831441141300189,1.0674180305931844,1.7577363161111297,0.005605942745285673,9.218440594059405,0.047635938346508366,-0.02221680983121914,0.04554744167051121,0.7431251602063744,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_simple,FAM_A_simple,ungated,reg_breadth_state,WEAK,304,0.4276315789473684,0.0936022212287583,-0.03176168240566754,-0.006834719213433427,0.021847881648527724,3.648480197356341,2.201794386339161,6.641756021152428,0.4063880356955693,12.611842105263158,0.08130684885910203,-0.028224957869568076,0.05320697838445609,0.5368875571190361,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,ungated,ALL,ALL,755,0.32317880794701986,0.05800006190495682,-0.024412682149065758,-0.015009318079715839,0.002221370233956109,1.103721132508165,1.1344409284022612,1.6771345266368622,0.05356117001200664,10.927152317880795,0.05121252891779705,-0.022111742736029977,0.046083398260003426,0.7666032143249327,0.0033137251517639747,1068.0,-0.0010201367802090853,50000.0,62399.732700760665,0.2479946540152133,0.07527485676248862,-0.19243614484058869,0.15498893258036817,0.11064104246119184,0.5389493534459171,0.7592573534290207,0.43090503042790285,0.713241395243986,40905.03182278095,68471.407256,3.4306878306878312,6.2,230.2,1070.0
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,spy200,ALL,ALL,663,0.31825037707390647,0.057079416914708275,-0.02421096403016986,-0.015328694281023236,0.0016597303580191084,0.7853380697035424,1.100554277257013,1.1004012273666688,0.035486975381598916,10.963800904977376,0.050224817936396125,-0.02176413079327169,0.04530995689358537,0.78177489596616,0.004349054371576486,937.0,1.5192439603426387e-05,50000.0,58994.543302275575,0.17989086604551163,0.05628609272112613,-0.2012809622537497,0.13673290995409443,0.09870523276387726,0.46558937611427104,0.6460740764490774,0.27900148756291127,0.5587273741588916,33269.17925493836,73645.988847,2.6605820105820106,6.4,175.6,937.0
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,ungated,reg_market_state,BEARISH,100,0.35,0.06870850075540016,-0.027013693314158985,-0.012006857014006056,0.006489074610186721,1.0235311966334346,1.3695604148562301,0.648907461018672,0.16656622280601208,11.14,0.06070855580664039,-0.024903771770352377,0.05425509112059244,0.6894120368567124,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,ungated,reg_market_state,BULLISH,612,0.3235294117647059,0.0548770299712205,-0.024054859747107898,-0.01507764716767257,0.0014819281029395273,0.6878272817084051,1.0910700103478217,0.9069399989989907,0.041382471049846804,10.856209150326798,0.049349747859395644,-0.021521571853863528,0.04462231780664579,0.7834611004225872,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,ungated,reg_market_state,MIXED,43,0.2558139534883721,0.0801423312789817,-0.023758705545299966,-0.016673666630363404,0.0028206294562604594,0.29067440435651254,1.1595297700299074,0.12128706661919975,-0.035907237303312564,11.44186046511628,0.055640885170292975,-0.024018293351230575,0.04947710124303281,0.7569231813190274,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,ungated,reg_vol_regime,HIGH,124,0.3064516129032258,0.07210223274026935,-0.026957151301416606,-0.01766322789147734,0.003399756711358126,0.5948873233845299,1.1818432051039243,0.4215698322084076,0.009916187127761843,10.491935483870968,0.05677869579377164,-0.02515135978106705,0.051683781215077926,0.7345386721773577,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,ungated,reg_vol_regime,LOW,367,0.3024523160762943,0.04896380380191128,-0.023298880015695536,-0.016773319687420907,-0.0014428639291714064,-0.6163737058919289,0.911219736332085,-0.5295310620059062,-0.005358317436685911,10.888283378746594,0.04237937768939015,-0.021175834907495188,0.03978013258826135,0.8407748885463715,,,,,,,,,,,,,,,,,,,,
dev,FAM_A_full_candle_volume,FAM_A_full_candle_volume,ungated,reg_vol_regime,NORMAL,211,0.33649289099526064,0.06006910006457394,-0.02418994168954314,-0.011492212461282625,0.004162626862790099,0.9803226864096996,1.2593504946693221,0.8783142680487108,0.06854950470928822,10.890995260663507,0.05674653172506493,-0.02156311490203853,0.051247781570884755,0.7530727520727535,,,,,,,,,,,,,,,,,,,,
