period,model,grouping,group,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,tickers,median_ticker_cagr,median_ticker_max_dd,median_ticker_sharpe,median_bh_cagr,pct_tickers_profitable
dev,FINAL,bucket,Biotech,106,0.2641509433962264,0.05924513007872208,-0.022952539301764767,-0.009586090378158718,-0.0012399473899380527,-0.22144176829025533,0.9265851726796331,-0.13143442333343358,0.027196406101356728,9.660377358490566,0.04370901082568594,-0.0241334812874415,0.042541918705601624,0.7394594123769369,4,-0.032026927314107057,-0.34957707900542234,-0.1072163727873647,0.09896598427090819,0.25
dev,FINAL,bucket,Communication/Internet,172,0.3081395348837209,0.04893437436408918,-0.024577488326443866,-0.011993551651316103,-0.0019255771485470585,-0.5541442179009446,0.8867586833076886,-0.33119926955009404,-0.10304028644551448,9.19767441860465,0.04584426185075931,-0.023420015524299998,0.0457332387419001,0.828458587610098,8,-0.012170482998114296,-0.20360957865926682,-0.020206092657547775,-0.0836432001497962,0.375
dev,FINAL,bucket,Consumer Discretionary,245,0.3346938775510204,0.05867246311849721,-0.024323641576987163,-0.012501821733045149,0.003454646525174957,0.7928775715038116,1.2134781852691734,0.8463883986678644,0.03330256301320195,9.681632653061225,0.04885640609112195,-0.022253853011185043,0.04445096979308674,0.7054834330711596,10,0.04525542412085026,-0.23727423020613064,0.3493848322141895,0.06032022038468898,0.6
dev,FINAL,bucket,Consumer Staples,192,0.359375,0.0353844177965628,-0.017447957761970907,-0.007785027142878875,0.0015386772043771459,0.6003765122947382,1.1376572330175745,0.295426023240412,0.08232248275938651,10.385416666666666,0.03634088930952057,-0.016094949041588116,0.031030661291169943,0.7581059719064782,7,0.025949238470738045,-0.13156287498364738,0.2781102886612857,0.09412633373354784,0.5714285714285714
dev,FINAL,bucket,Energy,181,0.3756906077348066,0.10097764802503531,-0.029386843868914745,-0.010515668281579793,0.019589871317762617,3.238632247173676,2.0677725919464147,3.5457667085150337,0.36193887418608994,10.977900552486188,0.08730966425124037,-0.028749733064872447,0.06804418283771366,0.61772228739566,7,0.2096541369606797,-0.18111334462415785,0.8349872459009607,0.21727503711244633,0.8571428571428571
dev,FINAL,bucket,Financials,262,0.3320610687022901,0.05318619956123336,-0.02164727968209693,-0.010560993165025623,0.003202005410153968,1.0058767359315908,1.2214532079201383,0.8389254174603397,0.03697942129944722,9.767175572519085,0.04871859015883731,-0.020273273246922584,0.044708844874094815,0.7087603196886579,12,0.019645366716598667,-0.1854927403413893,0.19445793794300636,0.02754460283795035,0.5833333333333334
dev,FINAL,bucket,Healthcare,281,0.3202846975088968,0.050916978138392285,-0.0184564332602168,-0.009231531514435232,0.0037628088247469668,1.195785612994335,1.2999420324270452,1.0573492797538977,0.10946700021128541,9.0711743772242,0.04120634891469063,-0.018116396779010894,0.03534084280676916,0.6885692044862464,9,0.005256059377648503,-0.17875035585222676,0.10217354689689431,0.10515355569382412,0.5555555555555556
dev,FINAL,bucket,Industrials,196,0.3112244897959184,0.04479728355472161,-0.02089764094389216,-0.009550285856725571,-0.00045177158462971357,-0.13435762416121075,0.9686134232318506,-0.08854723058742386,-0.06300753141984015,8.418367346938776,0.041326441187193905,-0.020864828828003147,0.038396511954969285,0.7679766271280342,8,-0.006943499632241779,-0.2653371383637563,0.010306434660250883,0.06756999044477652,0.375
dev,FINAL,bucket,Materials,104,0.2980769230769231,0.09087794409433395,-0.025377530314496806,-0.014634083514568685,0.00927554378813544,1.0419689799576268,1.520715498247379,0.9646565539660857,0.13569137948505675,10.048076923076923,0.06575650388216658,-0.024991576054811504,0.061810669300715895,0.667771902294732,4,0.034327586262487664,-0.2574169053136741,0.2930436291037832,0.12317100080338983,1.0
dev,FINAL,bucket,Real Estate,75,0.3333333333333333,0.041696274193790045,-0.02456196758181274,-0.010211174812463697,-0.0024758869899451463,-0.39280807946648283,0.8487975170332984,-0.18569152424588597,-0.05376835470736453,8.0,0.04159550347633115,-0.023299813450982688,0.04291030715159691,0.7543614672065624,3,-0.026398333215875702,-0.2337526217839777,-0.10948081323584605,-0.005836693582403019,0.3333333333333333
dev,FINAL,bucket,Semiconductors,244,0.29098360655737704,0.07888663123752483,-0.031220786056423165,-0.014428810619305843,0.0008186673364879328,0.14157516955119973,1.036983444140092,0.19975483010305561,0.021217218984655565,7.745901639344262,0.060247106368289664,-0.03123297494778275,0.058224828477514076,0.7309992338668949,8,-0.019429319628781805,-0.34839245609647856,-0.051202672298641484,0.11429092292620857,0.375
dev,FINAL,bucket,Software,186,0.3655913978494624,0.07819632299522923,-0.025825561559954607,-0.010122892459729527,0.012203944621510449,2.2535902673250887,1.7448715577063494,2.2699336996009434,0.33060601520945143,12.241935483870968,0.06906490833385513,-0.02391190685669101,0.054205183507794075,0.6450108197356031,8,0.06509270239663034,-0.23342241997749252,0.44118571854694133,0.12899278119993496,1.0
dev,FINAL,bucket,Tech Hardware & IT Services,119,0.31092436974789917,0.060922207054914836,-0.02641230418434758,-0.010773067373346712,0.0007421236799609076,0.13138535274274227,1.040775857998014,0.088312717915348,0.009456434104562839,9.663865546218487,0.04661133816460708,-0.023366177128528558,0.04446734621262935,0.7273430874290768,5,-0.04514999272446085,-0.17418145640812954,-0.2918607829301658,0.08172175627194278,0.4
dev,FINAL,bucket,Transportation,83,0.3253012048192771,0.05442083586617227,-0.024043123768995502,-0.01494595195156656,0.0014812968352157006,0.2220472244548618,1.0913148201838248,0.12294763732290315,-0.0031359624398330723,8.662650602409638,0.046495267959705884,-0.021327279428707307,0.04191436910097471,0.7758160625926324,4,-0.014143381485812623,-0.2267622886685648,-0.05662563442767361,0.06368842867181757,0.5
dev,FINAL,bucket,Utilities,96,0.2604166666666667,0.04094128918312007,-0.020529773449883125,-0.013143014557976007,-0.004521684222538542,-1.2003606567992493,0.702197076390382,-0.43408168536370006,-0.08855222607234543,8.65625,0.031901575941981536,-0.02005502001949921,0.03446917598838475,0.830506474047175,3,-0.03387265388597416,-0.2451843327940778,-0.22851926129182348,0.08335137291528616,0.0
dev,SPY_only,bucket,Biotech,80,0.2625,0.040148931732665635,-0.02183334638004903,-0.009586090378158718,-0.005562998375461435,-1.235245085024005,0.6545170624148489,-0.4450398700369148,-0.10347609291857074,9.1,0.03550398732076587,-0.021543701941176312,0.040848312359303064,0.8625889277765676,4,-0.06070498340369751,-0.24995371195703436,-0.5673435483651075,0.09896598427090819,0.25
dev,SPY_only,bucket,Communication/Internet,164,0.29878048780487804,0.04562240203153152,-0.024148919408185702,-0.012484649930233682,-0.0033026099536360453,-0.9690030354570384,0.8049681272379104,-0.5416280323963114,-0.10977683940402465,8.798780487804878,0.043637500386881585,-0.022981551575506333,0.044677914526646524,0.8558790933704905,8,-0.02809105759067837,-0.19039756921799933,-0.1255712688707583,-0.0836432001497962,0.25
dev,SPY_only,bucket,Consumer Discretionary,234,0.3418803418803419,0.05385558027995997,-0.024709728510372383,-0.01249439779914674,0.0021502061188010675,0.5538690385386715,1.1322230759846095,0.5031482317994498,0.027789329803582032,9.474358974358974,0.047251006957195356,-0.022353821875342888,0.04390280351666139,0.7327349368027642,10,0.016083590436005102,-0.22906174798169932,0.18077954540302948,0.06032022038468898,0.5
dev,SPY_only,bucket,Consumer Staples,159,0.3584905660377358,0.038546619136228075,-0.016711164524844262,-0.00786922536746204,0.003098229617804315,1.0704370707151942,1.2890039901512365,0.4926185092308861,0.11287726125909546,11.025157232704403,0.0366464108813171,-0.014991967708783947,0.03012156781484218,0.7251719059483083,7,-0.0014840654797242392,-0.1159151790478713,0.026537756489223307,0.09412633373354784,0.42857142857142855
dev,SPY_only,bucket,Energy,121,0.36363636363636365,0.10418140408646287,-0.024269477474194716,-0.012077927968038304,0.022439934002408048,3.0359851938279534,2.452967146484704,2.7152320142913737,0.4169455895688078,11.40495867768595,0.08842219246678286,-0.024385714018987023,0.06949196155409731,0.5944521422862866,7,0.10732560174705208,-0.18111334462415785,0.7503441063336609,0.21727503711244633,1.0
