entry_price,exit_price,premium,exit_premium,cost,pnl,pnl_pct,reason,symbol,entry_time,atr
13.185,13.141441098460337,0.05,0.03,5.44,-2.18,-40.0,SL,MARA,2025-11-13 18:00:00+00:00,0.18
13.145,13.10189530571317,0.05,0.03,5.39,-2.16,-40.0,SL,MARA,2025-11-13 18:15:00+00:00,0.18
13.03,12.987231355305084,0.05,0.03,5.35,-2.14,-40.0,SL,MARA,2025-11-13 18:30:00+00:00,0.18
13.01,12.967714829926152,0.05,0.03,5.29,-2.11,-40.0,SL,MARA,2025-11-13 18:45:00+00:00,0.18
12.95,12.908678056359998,0.05,0.03,5.17,-2.07,-40.0,SL,MARA,2025-11-13 19:00:00+00:00,0.17
12.88,12.900213759547144,0.05,0.06,5.05,1.01,20.0,TP,MARA,2025-11-13 19:15:00+00:00,0.17
12.765,12.724041327237298,0.05,0.03,5.12,-2.05,-40.0,SL,MARA,2025-11-13 20:15:00+00:00,0.17
12.76,12.78000224092554,0.05,0.06,5.0,1.0,20.0,TP,MARA,2025-11-13 20:30:00+00:00,0.17
12.37,12.394364840857657,0.06,0.07,6.09,1.22,20.0,TP,MARA,2025-11-14 14:45:00+00:00,0.2
12.265,12.290839071964001,0.06,0.08,6.46,1.29,20.0,TP,MARA,2025-11-14 15:15:00+00:00,0.22
12.0,11.965985354418423,0.04,0.03,4.25,-1.7,-40.0,SL,MARA,2025-11-17 14:30:00+00:00,0.14
11.88,11.899263942591446,0.05,0.06,4.82,0.96,20.0,TP,MARA,2025-11-17 14:45:00+00:00,0.16
11.3,11.265005928964456,0.04,0.03,4.37,-1.75,-40.0,SL,MARA,2025-11-17 19:15:00+00:00,0.15
11.2,11.165191219752707,0.04,0.03,4.35,-1.74,-40.0,SL,MARA,2025-11-17 19:30:00+00:00,0.15
11.155,11.12044898977037,0.04,0.03,4.32,-1.73,-40.0,SL,MARA,2025-11-17 19:45:00+00:00,0.14
11.165,11.131202633358201,0.04,0.03,4.22,-1.69,-40.0,SL,MARA,2025-11-17 20:00:00+00:00,0.14
230.18,229.75842125478502,0.53,0.32,52.7,-21.08,-40.0,SL,AMD,2025-10-22 14:45:00+00:00,1.76
241.47,241.77329680529567,0.76,0.91,75.82,15.16,20.0,TP,AMD,2025-11-06 15:15:00+00:00,2.53
241.85,241.2467059330223,0.75,0.45,75.41,-30.16,-40.0,SL,AMD,2025-11-06 15:30:00+00:00,2.51
237.14,236.49699836637785,0.8,0.48,80.38,-32.15,-40.0,SL,AMD,2025-11-06 15:45:00+00:00,2.68
236.37,236.69665075846743,0.82,0.98,81.66,16.33,20.0,TP,AMD,2025-11-06 16:00:00+00:00,2.72
231.11,230.48153781797723,0.79,0.47,78.56,-31.42,-40.0,SL,AMD,2025-11-07 14:45:00+00:00,2.62
228.605,227.91967863924776,0.86,0.51,85.67,-34.27,-40.0,SL,AMD,2025-11-07 15:30:00+00:00,2.86
226.89,227.23072777463494,0.85,1.02,85.18,17.04,20.0,TP,AMD,2025-11-07 15:45:00+00:00,2.84
226.485,226.81744792812913,0.83,1.0,83.11,16.62,20.0,TP,AMD,2025-11-07 16:15:00+00:00,2.77
231.01,230.4390834214741,0.71,0.43,71.36,-28.55,-40.0,SL,AMD,2025-11-18 14:45:00+00:00,2.38
226.89,226.26574889136882,0.78,0.47,78.03,-31.21,-40.0,SL,AMD,2025-11-18 15:00:00+00:00,2.6
226.9,226.26042397055676,0.8,0.48,79.95,-31.98,-40.0,SL,AMD,2025-11-18 15:15:00+00:00,2.66
228.11,227.4430794012313,0.83,0.5,83.37,-33.35,-40.0,SL,AMD,2025-11-18 15:30:00+00:00,2.78
227.03,226.3692308725719,0.83,0.5,82.6,-33.04,-40.0,SL,AMD,2025-11-18 15:45:00+00:00,2.75
227.085,226.43011438167392,0.82,0.49,81.86,-32.74,-40.0,SL,AMD,2025-11-18 16:00:00+00:00,2.73
211.43,211.79447291090133,0.91,1.09,91.12,18.22,20.0,TP,AMD,2025-11-20 18:00:00+00:00,3.04
202.41,201.7017692714899,0.89,0.53,88.53,-35.41,-40.0,SL,AMD,2025-11-21 14:45:00+00:00,2.95
202.37,201.63864289495493,0.91,0.55,91.42,-36.57,-40.0,SL,AMD,2025-11-21 15:00:00+00:00,3.05
200.0,199.265511259601,0.92,0.55,91.81,-36.72,-40.0,SL,AMD,2025-11-21 15:15:00+00:00,3.06
197.52,196.7817461696295,0.92,0.55,92.28,-36.91,-40.0,SL,AMD,2025-11-21 15:30:00+00:00,3.08
197.74,196.9900214432274,0.94,0.56,93.75,-37.5,-40.0,SL,AMD,2025-11-21 15:45:00+00:00,3.12
197.0,196.25044848299686,0.94,0.56,93.69,-37.48,-40.0,SL,AMD,2025-11-21 16:00:00+00:00,3.12
198.02,197.41467368388686,0.76,0.45,75.67,-30.27,-40.0,SL,AMD,2025-11-25 14:45:00+00:00,2.52
198.26,197.62025413503778,0.8,0.48,79.97,-31.99,-40.0,SL,AMD,2025-11-25 15:00:00+00:00,2.67
