,,,,,,,,,,,
,,,,,,,,,,,
,Asset,Order Type,Side,Qty,Filled Qty,Avg. Fill Price,Status,Source,Submitted At,Filled At,Expires At
,CLSK,Market,buy,136,136,14.68,filled,access_key,"Dec 01, 2025, 8:45:09 AM","Dec 01, 2025, 8:45:10 AM","Dec 01, 2025, 1:00:00 PM"
,U,Limit @ $46.03,sell,45,0,-,canceled,access_key,"Dec 01, 2025, 8:00:09 AM",-,"Dec 01, 2025, 1:00:00 PM"
,U,Market,buy,45,45,43.84,filled,access_key,"Dec 01, 2025, 8:00:08 AM","Dec 01, 2025, 8:00:09 AM","Dec 01, 2025, 1:00:00 PM"
,SQQQ,Limit @ $72.10,sell,28,0,-,canceled,access_key,"Dec 01, 2025, 7:45:11 AM",-,"Dec 01, 2025, 1:00:00 PM"
,SQQQ,Market,buy,28,28,69.58,filled,access_key,"Dec 01, 2025, 7:45:10 AM","Dec 01, 2025, 7:45:11 AM","Dec 01, 2025, 1:00:00 PM"
,DHR,Limit @ $226.34,sell,8,8,226.37,filled,access_key,"Dec 01, 2025, 7:45:09 AM","Dec 01, 2025, 8:21:43 AM","Dec 01, 2025, 1:00:00 PM"
,DHR,Market,buy,8,8,225.88,filled,access_key,"Dec 01, 2025, 7:45:07 AM","Dec 01, 2025, 7:45:09 AM","Dec 01, 2025, 1:00:00 PM"
,DHR,Stop @ $224.32,sell,8,0,-,canceled,access_key,"Dec 01, 2025, 7:45:07 AM",-,"Dec 01, 2025, 1:00:00 PM"
,AAPL,Limit @ $281.81,sell,7,7,281.818571,filled,access_key,"Dec 01, 2025, 7:30:10 AM","Dec 01, 2025, 12:09:12 PM","Dec 01, 2025, 1:00:00 PM"
,AAPL,Market,buy,7,7,278.195714,filled,access_key,"Dec 01, 2025, 7:30:09 AM","Dec 01, 2025, 7:30:10 AM","Dec 01, 2025, 1:00:00 PM"
,AAPL,Stop @ $276.85,sell,7,0,-,canceled,access_key,"Dec 01, 2025, 7:30:09 AM",-,"Dec 01, 2025, 1:00:00 PM"
,MSTR,Limit @ $164.37,sell,12,12,164.43,filled,access_key,"Dec 01, 2025, 7:30:08 AM","Dec 01, 2025, 11:03:59 AM","Dec 01, 2025, 1:00:00 PM"
,MSTR,Market,buy,12,12,159.82,filled,access_key,"Dec 01, 2025, 7:30:06 AM","Dec 01, 2025, 7:30:08 AM","Dec 01, 2025, 1:00:00 PM"
,MSTR,Stop @ $152.25,sell,12,0,-,canceled,access_key,"Dec 01, 2025, 7:30:06 AM",-,"Dec 01, 2025, 1:00:00 PM"
,BURL,Limit @ $250.20,sell,8,0,-,canceled,access_key,"Dec 01, 2025, 6:50:44 AM",-,"Dec 01, 2025, 1:00:00 PM"
,ZS,Limit @ $246.09,sell,8,8,246.42,filled,access_key,"Dec 01, 2025, 6:50:44 AM","Dec 01, 2025, 8:30:38 AM","Dec 01, 2025, 1:00:00 PM"
,ZS,Market,buy,8,8,244.09,filled,access_key,"Dec 01, 2025, 6:50:44 AM","Dec 01, 2025, 6:50:44 AM","Dec 01, 2025, 1:00:00 PM"
,ZS,Stop @ $238.81,sell,8,0,-,canceled,access_key,"Dec 01, 2025, 6:50:44 AM",-,"Dec 01, 2025, 1:00:00 PM"
,SHOP,Limit @ $154.61,sell,13,13,154.630769,filled,access_key,"Dec 01, 2025, 6:50:43 AM","Dec 01, 2025, 6:56:24 AM","Dec 01, 2025, 1:00:00 PM"
,BURL,Market,buy,8,8,247.99,filled,access_key,"Dec 01, 2025, 6:50:43 AM","Dec 01, 2025, 6:50:44 AM","Dec 01, 2025, 1:00:00 PM"
,EBAY,Limit @ $81.27,sell,24,24,81.28,filled,access_key,"Dec 01, 2025, 6:50:43 AM","Dec 01, 2025, 7:49:02 AM","Dec 01, 2025, 1:00:00 PM"
,SHOP,Market,buy,13,13,153.35,filled,access_key,"Dec 01, 2025, 6:50:43 AM","Dec 01, 2025, 6:50:43 AM","Dec 01, 2025, 1:00:00 PM"
,SHOP,Stop @ $150.14,sell,13,0,-,canceled,access_key,"Dec 01, 2025, 6:50:43 AM",-,"Dec 01, 2025, 1:00:00 PM"
,EBAY,Market,buy,24,24,80.57,filled,access_key,"Dec 01, 2025, 6:50:43 AM","Dec 01, 2025, 6:50:43 AM","Dec 01, 2025, 1:00:00 PM"
,EBAY,Stop @ $79.68,sell,24,0,-,canceled,access_key,"Dec 01, 2025, 6:50:43 AM",-,"Dec 01, 2025, 1:00:00 PM"
