date,wins,losses,net_pnl,trades,max_capital
2025-08-25,0,1,-2.6598910610208293,1,506.90999999999997
2025-08-26,1,2,-1.2262859844031482,3,358.78
2025-08-27,2,0,10.281250969620913,2,1772.575
2025-08-28,1,0,14.32849899265591,1,1709.7749999999999
2025-08-29,6,9,-22.53886896126278,15,13683.920000000002
2025-09-02,4,3,7.184891312074058,7,7677.030000000003
2025-09-03,2,1,17.889264308645238,3,5643.900000000003
2025-09-04,1,0,19.849009217248863,1,1926.9000000000033
2025-09-05,4,3,15.410365720908558,7,5711.585000000004
2025-09-08,1,0,9.016684539479797,1,1737.6600000000035
2025-09-09,0,4,-51.08235290537277,4,3981.930000000003
2025-09-10,3,1,18.85100326750586,4,3772.980000000003
2025-09-11,0,1,-7.9051164746599625,1,1228.845000000003
2025-09-12,2,6,-104.12104897363702,8,7577.220000000003
2025-09-16,4,0,69.91799568245864,4,3901.1300000000037
2025-09-17,8,12,-49.07519754713783,20,13217.505000000005
2025-09-18,1,0,33.42872077335949,1,1891.3700000000038
2025-09-19,1,1,17.05488705379844,2,3795.5800000000036
2025-09-22,2,0,40.14735846751785,2,1985.6200000000038
2025-09-23,4,5,15.281483209433844,9,5727.700000000004
2025-09-24,6,5,-1.9963192351024759,11,12993.780000000004
2025-09-25,18,0,304.36078343397196,18,21857.765000000003
2025-09-26,2,2,15.220909629979303,4,3982.0100000000093
2025-09-29,2,1,18.997057350171303,3,3935.16000000001
2025-09-30,3,1,39.995942694717826,4,5748.05000000001
2025-10-01,1,1,1.379437691422936,2,1862.63000000001
2025-10-02,1,1,-5.0885282046642715,2,1771.2800000000102
2025-10-03,3,5,-24.64273242809105,8,5955.09000000001
2025-10-06,3,1,29.578421978049107,4,3805.620000000011
2025-10-07,11,21,-197.0063612644754,32,22526.910000000007
2025-10-08,3,1,32.92383381330768,4,1902.6900000000087
2025-10-09,2,3,-11.069676213609739,5,3974.5200000000086
2025-10-10,4,18,-408.687543815175,22,18897.55500000001
2025-10-13,4,3,58.10212155082712,7,7787.385000000014
2025-10-14,6,0,140.66201730374013,6,8950.695000000014
2025-10-16,3,0,93.01330890997289,3,1963.0750000000141
2025-10-17,4,0,120.88665707108116,4,3134.100000000014
2025-10-20,2,1,32.84569659631643,3,1923.200000000014
2025-10-21,1,2,-9.754048668878312,3,5201.100000000013
2025-10-22,7,12,-114.04018870947925,19,11405.170000000013
2025-10-23,0,1,-8.864684802132956,1,1880.0600000000115
2025-10-24,0,1,-8.892875005091696,1,1890.9450000000115
2025-10-27,1,1,-1.1885919818580533,2,1999.2000000000116
2025-10-28,0,2,-27.136532182571273,2,1929.2000000000116
2025-10-29,5,4,21.58033175775958,9,7830.350000000011
2025-10-30,2,3,-27.438638086217793,5,5202.950000000011
2025-10-31,7,3,64.46049343742658,10,11320.79000000001
2025-11-03,1,0,11.973238368624635,1,1914.21000000001
2025-11-04,10,20,-140.5355691815796,30,23651.960000000006
2025-11-05,7,2,80.59910227881056,9,10952.890000000001
2025-11-06,5,4,37.20489486682936,9,9578.285000000003
2025-11-07,5,6,-105.36427482289389,11,13032.530000000004
2025-11-11,2,1,48.390685868278695,3,5736.080000000006
2025-11-12,2,7,-79.7612872626492,9,7694.640000000007
2025-11-13,8,11,55.138010258852006,19,10982.905000000008
2025-11-14,7,3,64.10660107715807,10,7726.285000000013
2025-11-17,1,3,-24.302197075512936,4,1995.4800000000118
2025-11-18,2,1,41.54791391050293,3,3815.440000000012
2025-11-19,0,1,-10.711365088560626,1,1914.360000000012
2025-11-26,1,1,-4.634921004687158,2,1923.8400000000117
2025-12-01,2,0,35.90791839869155,2,1855.9100000000117
2025-12-02,1,2,-5.356083818452873,3,3896.8300000000118
2025-12-03,1,0,17.804201933263926,1,1854.4000000000115
2025-12-04,2,2,-1.5692835191785548,4,3729.930000000011
2025-12-08,4,5,-36.90894579795395,9,6327.200000000012
2025-12-09,3,2,44.57215300518584,5,5895.645000000011
2025-12-10,3,0,26.395988218123875,3,3837.930000000011
2025-12-11,4,0,117.47032531551403,4,7745.54000000001
2025-12-12,12,18,-188.90513121271601,30,20757.710000000014
2025-12-15,6,1,70.6239063126861,7,4336.8100000000095
2025-12-16,7,0,79.59383230013333,7,4744.515000000009
