symbol,entry_date,entry_price,opt_cost,contracts,max_profit,max_loss,weeks_held,exit_date,exit_price,exit_opt_val,pnl,roi,reason
COIN,2025-02-24,239.13999938964844,11.956999969482423,1,0,0,5,2025-03-31,160.5500030517578,-39.85299049377442,-51.809990463256845,-433.30258924053106,SL_Stock
COIN,2025-04-07,146.0399932861328,7.301999664306641,1,0,0,2,2025-04-21,209.63999938964844,47.18160369873047,39.87960403442383,546.1463416570916,MeanRev
COIN,2025-04-28,208.1999969482422,10.40999984741211,1,0,0,2,2025-05-12,266.4599914550781,46.19699630737305,35.78699645996094,343.7751871711839,MeanRev
SHOP,2025-03-10,96.06999969482422,4.803499984741212,1,0,0,6,2025-04-21,97.12000274658203,2.6039019775390626,-2.199598007202149,-45.79156894325778,MeanRev
SHOP,2025-05-12,104.0,5.2,1,0,0,1,2025-05-19,101.51000213623047,3.061501388549805,-2.138498611450195,-41.12497329711914,MeanRev
CRWD,2025-04-07,300.05999755859375,15.002999877929689,1,0,0,1,2025-04-14,375.6199951171875,62.61669830322265,47.61369842529296,317.36118651400886,MeanRev
CRWD,2025-09-01,417.1090087890625,20.855450439453126,1,0,0,2,2025-09-15,502.54998779296875,72.22099670410157,51.365546264648444,246.29315206483432,MeanRev
MPWR,2025-04-07,463.29760288858256,23.16488014442913,1,0,0,2,2025-04-21,581.4578857421875,95.33608797038653,72.1712078259574,311.55441934506916,MeanRev
MU,2025-03-03,95.53559987534899,4.77677999376745,1,0,0,1,2025-03-10,100.50135040283203,7.5268398372546805,2.7500598434872305,57.57141520177604,MeanRev
MU,2025-04-07,63.83988785510145,3.1919943927550727,1,0,0,4,2025-05-05,85.72557067871094,16.14089047099921,12.948896078244138,405.66788298984744,MeanRev
UBER,2025-11-24,84.1500015258789,4.207500076293946,1,0,0,1,2025-12-01,91.31999969482422,8.447248878479005,4.239748802185059,100.76645811779802,MeanRev
SMH,2025-03-03,235.3699951171875,11.768499755859375,1,0,0,4,2025-03-31,180.8000030517578,-18.230396575927738,-29.998896331787115,-254.90841614583096,SL_Stock
SMH,2025-04-07,173.49000549316406,8.674500274658204,1,0,0,3,2025-04-28,219.02999877929688,35.67314582824707,26.99864555358887,311.2415090061506,MeanRev
SMH,2025-05-05,217.02999877929688,10.851499938964844,1,0,0,1,2025-05-12,246.4199981689453,28.869849548339847,18.018349609375,166.04478376925488,MeanRev
NVDA,2025-03-03,123.47622827864049,6.173811413932025,1,0,0,5,2025-04-07,110.90986633300781,-18.15661794271695,-24.330429356648974,-394.0909063361432,SL_Stock
NVDA,2025-04-14,114.08928452588457,5.7044642262942284,1,0,0,2,2025-04-28,114.4792251586914,4.817032792359829,-0.8874314339343998,-15.556788485829436,MeanRev
NVDA,2025-05-05,112.88951088889792,5.644475544444896,1,0,0,1,2025-05-12,135.37542724609375,19.6958736221777,14.051398077732804,248.94072030415154,MeanRev
VRT,2025-02-24,96.86195870138195,4.843097935069098,1,0,0,5,2025-03-31,59.350772857666016,-24.538535590774643,-29.38163352584374,-606.6702329740218,SL_Stock
VRT,2025-04-07,53.556560548550166,2.6778280274275086,1,0,0,2,2025-04-21,86.86331176757812,23.79165071431018,21.11382268688267,788.4682089598542,MeanRev
VRT,2025-04-28,86.86331118436186,4.343165559218093,1,0,0,1,2025-05-05,93.96622467041016,8.525742769227675,4.1825772100095815,96.30250454377286,MeanRev
VRT,2025-05-12,100.99921034710668,5.049960517355334,1,0,0,1,2025-05-19,104.03618621826172,6.518998781870574,1.4690382645152402,29.09009406046953,MeanRev
WDC,2025-03-10,40.52454659403007,2.0262273297015034,1,0,0,3,2025-03-31,30.423297882080078,-5.536769859050786,-7.5629971887522895,-373.25511693036157,SL_Stock
WDC,2025-04-07,29.506812430132864,1.4753406215066434,1,0,0,2,2025-04-21,40.62416076660156,8.406548915909967,6.931208294403324,469.803934994012,MeanRev
WDC,2025-04-28,40.43488787194846,2.021744393597423,1,0,0,1,2025-05-05,43.93147659301758,4.092352622932607,2.0706082293351837,102.41691461554217,MeanRev
APP,2025-03-10,246.52999877929688,12.326499938964844,1,0,0,7,2025-04-28,307.5799865722656,43.380442047119146,31.053942108154303,251.92830294016252,MeanRev
AVGO,2025-03-24,193.51221088300852,9.675610544150427,1,0,0,1,2025-03-31,145.6968536376953,-23.78133616169912,-33.456946705849546,-345.7864137170814,SL_Stock
AVGO,2025-04-07,143.9041624928364,7.1952081246418205,1,0,0,2,2025-04-21,191.53025817871094,36.7131286955319,29.51792057089008,410.24415221289365,MeanRev
AVGO,2025-04-28,189.75747130639968,9.487873565319985,1,0,0,1,2025-05-05,207.3558349609375,19.97802258423757,10.490149018917586,110.56375221167694,MeanRev
RBLX,2025-04-07,50.5099983215332,2.5254999160766602,1,0,0,1,2025-04-14,59.709999084472656,8.252950420379639,5.727450504302979,226.7848225946694,MeanRev
C,2025-04-07,55.02238365262001,2.7511191826310006,1,0,0,2,2025-04-21,67.04383087158203,10.014836038430117,7.263716855799116,264.0277055846248,MeanRev
C,2025-04-28,67.26917503282777,3.3634587516413887,1,0,0,1,2025-05-05,70.00265502929688,4.803874874182164,1.4404161225407757,42.82544335761049,MeanRev
QCOM,2025-04-07,122.51921856212405,6.125960928106203,1,0,0,2,2025-04-21,146.0908203125,20.222309880229332,14.09634895212313,230.10837185474696,MeanRev
QCOM,2025-05-05,136.00135897121825,6.800067948560913,1,0,0,1,2025-05-12,149.96533203125,15.196643642725459,8.396575694164547,123.47782048180123,MeanRev
