entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
262.51,262.51,265.71,3.2,1.04,0.97,103.91,215.81,-103.91,-6.89,-6.6,BARS_STOP,10,3,HUM,2025-10-14 14:45:00+00:00,2.13,25.0,262.55,266.15,-0.6702,-0.5481,49.9,"RSI=25.0, Close=$262.55 < KC_Lower=$266.15",2025-10-14 17:15:00+00:00
286.59,286.59,288.92,2.33,0.76,2.42,75.82,157.47,-75.82,157.47,207.7,MAX_PROFIT,4,8,HUM,2025-10-30 14:30:00+00:00,1.56,23.6,286.09,289.38,-0.5521,-0.2366,27.7,"RSI=23.6, Close=$286.09 < KC_Lower=$289.38",2025-10-30 15:30:00+00:00
274.34,274.34,276.34,2.0,0.65,2.64,65.01,135.02,-65.01,135.02,207.7,MAX_PROFIT,4,4,HUM,2025-11-03 14:45:00+00:00,1.33,23.8,274.57,276.97,-0.3158,-0.255,53.2,"RSI=23.8, Close=$274.57 < KC_Lower=$276.97",2025-11-03 15:45:00+00:00
259.06,259.06,262.43,3.37,1.09,3.63,109.39,227.2,-109.39,227.2,207.7,MAX_PROFIT,2,3,HUM,2025-12-16 16:45:00+00:00,2.24,21.6,258.93,263.83,-0.7329,-0.4137,38.0,"RSI=21.6, Close=$258.93 < KC_Lower=$263.83",2025-12-16 17:15:00+00:00
756.31,756.31,759.64,3.33,1.08,4.4,108.07,224.44,-108.07,224.44,207.7,MAX_PROFIT,2,9,AXON,2025-09-17 13:30:00+00:00,2.22,23.9,751.33,756.85,-0.6979,,98.7,"RSI=23.9, Close=$751.33 < KC_Lower=$756.85",2025-09-17 14:15:00+00:00
739.01,739.01,746.86,7.84,2.0,2.49,200.0,584.08,-200.0,49.32,24.7,BARS_STOP,10,9,AXON,2025-09-24 15:15:00+00:00,5.23,24.8,742.77,759.9,-2.431,-0.888,33.4,"RSI=24.8, Close=$742.77 < KC_Lower=$759.90",2025-09-24 18:15:00+00:00
712.88,712.88,720.61,7.73,2.0,6.95,200.0,572.85,-200.0,494.75,247.4,BARS_STOP,10,9,AXON,2025-09-24 18:45:00+00:00,5.15,25.0,712.83,725.8,-2.5339,-2.8814,42.0,"RSI=25.0, Close=$712.83 < KC_Lower=$725.80",2025-09-25 14:45:00+00:00
674.47,674.47,681.51,7.04,2.0,2.24,200.0,504.07,-200.0,23.88,11.9,BARS_STOP,10,9,AXON,2025-10-15 15:30:00+00:00,4.69,23.6,675.36,692.34,-1.9483,-0.7358,19.6,"RSI=23.6, Close=$675.36 < KC_Lower=$692.34",2025-10-15 18:00:00+00:00
645.01,645.01,653.28,8.27,2.0,10.62,200.0,626.59,-200.0,626.59,313.3,MAX_PROFIT,7,9,AXON,2025-10-15 18:15:00+00:00,5.51,22.4,645.0,658.88,-2.8462,-2.8353,42.8,"RSI=22.4, Close=$645.00 < KC_Lower=$658.88",2025-10-16 13:30:00+00:00
704.13,704.13,709.75,5.62,1.83,7.44,182.77,379.59,-182.77,379.59,207.7,MAX_PROFIT,1,3,AXON,2025-11-04 14:45:00+00:00,3.75,20.6,703.36,717.55,-0.9993,-0.439,25.6,"RSI=20.6, Close=$703.36 < KC_Lower=$717.55",2025-11-04 15:00:00+00:00
