date,exposure
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.998448201366192
2023-01-13,0.9474289021037589
2023-01-17,0.9732388323275064
2023-01-18,0.7892572851342111
2023-01-19,0.5571078982206429
2023-01-20,0.44630980423979383
2023-01-23,0.9967464348546523
2023-01-24,0.9477032068959902
2023-01-25,0.9987296529252344
2023-01-26,0.9988499950778664
2023-01-27,0.9988505657768965
2023-01-30,0.9705588648532876
2023-01-31,0.9985697147566228
2023-02-01,0.9020607320884091
2023-02-02,0.9722077619946423
2023-02-03,0.9750201713111413
2023-02-06,0.998607683539451
2023-02-07,0.9572364515342059
2023-02-08,0.9992316780046698
2023-02-09,0.9890684615224694
2023-02-10,0.8551102355759737
2023-02-13,0.9979254393609731
2023-02-14,0.9979412542089076
2023-02-15,0.9979485170654451
2023-02-16,0.9507961205750449
2023-02-17,0.9502480149261034
2023-02-21,0.8481829749529324
2023-02-22,0.9487151415601602
2023-02-23,0.9556635239822784
2023-02-24,0.9251244431833087
2023-02-27,0.9930717136197899
2023-02-28,0.895864428572669
2023-03-01,0.9968715544074271
2023-03-02,0.9968784528745382
2023-03-03,0.9969296335139024
2023-03-06,0.996921850760339
2023-03-07,0.9243570159583582
2023-03-08,0.8960088255266049
2023-03-09,0.9664678492811138
2023-03-10,0.8728088274966239
2023-03-13,0.41045012547656184
2023-03-14,0.41581272351602283
2023-03-15,0.9024835033896774
2023-03-16,0.6987585880384277
2023-03-17,0.9985459152474029
2023-03-20,0.9985534475658475
2023-03-21,0.9971454577967627
2023-03-22,0.9725815891020044
2023-03-23,0.9973128348419232
2023-03-24,0.9973161448717661
2023-03-27,0.997312583855152
2023-03-28,0.9987174693846865
2023-03-29,0.998735094528793
2023-03-30,0.9987433757938818
2023-03-31,0.9987598428346669
2023-04-03,0.9987592043107645
2023-04-04,0.998756017107484
2023-04-05,0.9987584746289742
2023-04-06,0.9981698581634681
2023-04-10,0.9981533514546879
2023-04-11,0.9981487468690136
2023-04-12,0.9955969177234175
2023-04-13,0.995531953792204
2023-04-14,0.9955246986294197
2023-04-17,0.9955187861724832
2023-04-18,0.9962779543999583
2023-04-19,0.9962732930153047
2023-04-20,0.9972216144549837
2023-04-21,0.9775331534902948
2023-04-24,0.9972467853494006
2023-04-25,0.953407711121884
2023-04-26,0.9471261372419061
2023-04-27,0.9406748534425852
2023-04-28,0.9935182026538272
2023-05-01,0.9935198523082057
2023-05-02,0.8905200281616684
2023-05-03,0.9403319812802577
2023-05-04,0.9715246150204235
2023-05-05,0.9967657178357902
2023-05-08,0.9967703720018966
2023-05-09,0.9967526988127251
2023-05-10,0.9733789505536509
2023-05-11,0.9968646918752204
2023-05-12,0.9968647590595763
2023-05-15,0.9964294462022577
2023-05-16,0.9930366627763398
2023-05-17,0.9304994139980011
2023-05-18,0.9466774461721925
2023-05-19,0.9977547223009375
2023-05-22,0.961984223398705
2023-05-23,0.9285736245735199
2023-05-24,0.9974256967182136
2023-05-25,0.9957593435790804
2023-05-26,0.9958474726419475
2023-05-30,0.9958890281929451
2023-05-31,0.9958479882155892
2023-06-01,0.9959031699393087
2023-06-02,0.9959111289762677
2023-06-05,0.9959176397108752
2023-06-06,0.995909979383546
2023-06-07,0.957581464001805
2023-06-08,0.9953695719717354
2023-06-09,0.9954147983175894
2023-06-12,0.9955195033565722
2023-06-13,0.9955650779377748
2023-06-14,0.995638747288783
2023-06-15,0.9966616210729423
2023-06-16,0.9966267668880375
2023-06-20,0.996613049433719
2023-06-21,0.9776320769074666
2023-06-22,0.996882122540471
2023-06-23,0.9969451285559255
2023-06-26,0.9966909213844062
2023-06-27,0.9961364057419679
2023-06-28,0.9961166242983233
2023-06-29,0.9961408448902838
2023-06-30,0.9961957208071046
2023-07-03,0.9961826012605652
2023-07-05,0.9961634762714426
2023-07-06,0.9961380490003025
2023-07-07,0.9974439076606908
2023-07-10,0.9248367775699823
2023-07-11,0.9965683084839027
2023-07-12,0.996043543997209
2023-07-13,0.9967366372256118
2023-07-14,0.9967197142360924
2023-07-17,0.9967602563580922
2023-07-18,0.9962706797299002
2023-07-19,0.9963750617057858
2023-07-20,0.9963060411505363
2023-07-21,0.9727573485345953
2023-07-24,0.997929518965717
2023-07-25,0.9979418093409256
2023-07-26,0.997919862512952
2023-07-27,0.9470224550792581
2023-07-28,0.9971233228866583
2023-07-31,0.992987779827654
2023-08-01,0.9973279443172075
2023-08-02,0.9846412910150979
2023-08-03,0.9951423650169499
2023-08-04,0.9959475560907336
2023-08-07,0.9987045177248502
2023-08-08,0.9420366395186063
2023-08-09,0.9985315918110889
2023-08-10,0.9929753741284131
2023-08-11,0.9929761868282819
2023-08-14,0.9944804168362484
2023-08-15,0.994438859403272
2023-08-16,0.8759755291882382
2023-08-17,0.8487662031210966
2023-08-18,0.9986512707254078
2023-08-21,0.903362360561531
2023-08-22,0.9812282797596591
2023-08-23,0.865172415122722
2023-08-24,0.9238821864359451
2023-08-25,0.9717977101137716
2023-08-28,0.9966451303218747
2023-08-29,0.9966803526428883
2023-08-30,0.9966933628566839
2023-08-31,0.9966955912797163
2023-09-01,0.9967149442448049
2023-09-05,0.9967021480213194
2023-09-06,0.9962961073184402
2023-09-07,0.9964391514194911
2023-09-08,0.9970400320539016
2023-09-11,0.9970490046507485
2023-09-12,0.9948982292885973
2023-09-13,0.9970894304469319
2023-09-14,0.9970859083423853
2023-09-15,0.9946628775225814
2023-09-18,0.9973065346321741
2023-09-19,0.9491611020415045
2023-09-20,0.8909803129445966
2023-09-21,0.8306875173764843
2023-09-22,0.9713192665158804
2023-09-25,0.9953789827538253
2023-09-26,0.8592877062982911
2023-09-27,0.9975686473198924
2023-09-28,0.9978571742296177
2023-09-29,0.8526847345802949
2023-10-02,0.8327882760732492
2023-10-03,0.9878266488298559
2023-10-04,0.8424957329656513
2023-10-05,0.9942142423249823
2023-10-06,0.8644370803818546
2023-10-09,0.9962796243524255
2023-10-10,0.9962778460129933
2023-10-11,0.9963311655249164
2023-10-12,0.996308716288169
2023-10-13,0.996306582571709
2023-10-16,0.9962487201837676
2023-10-17,0.9730326019648553
2023-10-18,0.9959791128901045
2023-10-19,0.9708368176376595
2023-10-20,0.8087598355701836
2023-10-23,0.9202340383902478
2023-10-24,0.9708549925546544
2023-10-25,0.986715715303878
2023-10-26,0.7042429527411422
2023-10-27,0.6217771497100659
2023-10-30,0.4720490353371152
2023-10-31,0.47379365185150774
2023-11-01,0.47427722497451497
2023-11-02,0.9944340727944126
2023-11-03,0.9944289748982161
2023-11-06,0.9467108614728064
2023-11-07,0.9952159796511986
2023-11-08,0.9952119966155726
2023-11-09,0.9952004451239211
2023-11-10,0.9952755822974861
2023-11-13,0.9952728496595735
2023-11-14,0.9953063405869157
2023-11-15,0.9953131337419553
2023-11-16,0.9205462998503787
2023-11-17,0.9977845121415821
2023-11-20,0.9747875929301479
2023-11-21,0.9964080615688097
2023-11-22,0.9957774439190803
2023-11-24,0.9957919403130264
2023-11-27,0.9957817681519423
2023-11-28,0.995803195262474
2023-11-29,0.9957915369573641
2023-11-30,0.9951126714639204
2023-12-01,0.9944025387802716
2023-12-04,0.9436070345023865
2023-12-05,0.9236821326051002
2023-12-06,0.9963373795993856
2023-12-07,0.9972909488200365
2023-12-08,0.9973019624729578
2023-12-11,0.9973288437425476
2023-12-12,0.9973517409393043
2023-12-13,0.9973864491526008
2023-12-14,0.9430413559741849
2023-12-15,0.9975474539045788
2023-12-18,0.9975652476990954
2023-12-19,0.9975799642802408
2023-12-20,0.9975428349601445
2023-12-21,0.9969221063237699
2023-12-22,0.9969338475260805
2023-12-26,0.9969481969491365
2023-12-27,0.9972660389898458
2023-12-28,0.997261332359366
2023-12-29,0.9972540089137103
2024-01-02,0.9570322536617907
2024-01-03,0.9961815964645062
2024-01-04,0.9322893499188005
2024-01-05,0.9240570431275066
2024-01-08,0.95144725424969
2024-01-09,0.9715429929238242
2024-01-10,0.9963906906420243
2024-01-11,0.9149396496044068
2024-01-12,0.9495734446310526
2024-01-16,0.9704998642359437
2024-01-17,0.9972215039340059
2024-01-18,0.9972028954038213
2024-01-19,0.9972304316390851
2024-01-22,0.9972925708177062
2024-01-23,0.9548133109747052
2024-01-24,0.9727369319803707
2024-01-25,0.9973098575399323
2024-01-26,0.9973091465222865
2024-01-29,0.9972889372821676
2024-01-30,0.9972877188758028
2024-01-31,0.9747664817410595
2024-02-01,0.9799127378506922
2024-02-02,0.9963222858340846
2024-02-05,0.9962865317280686
2024-02-06,0.9962581588936279
2024-02-07,0.9479953838721157
2024-02-08,0.996702456550606
2024-02-09,0.9968833358387013
2024-02-12,0.9968698750944844
2024-02-13,0.9298225543162977
2024-02-14,0.9712888178733167
2024-02-15,0.9957502817634947
2024-02-16,0.995718220526566
2024-02-20,0.9325833036786957
2024-02-21,0.9947984203228719
2024-02-22,0.9956449159816083
2024-02-23,0.9626041307920896
2024-02-26,0.9981367816540452
2024-02-27,0.974086640393363
2024-02-28,0.9980659180003272
2024-02-29,0.997337441781027
2024-03-01,0.9973627422631332
2024-03-04,0.9733827369401149
2024-03-05,0.9981183415920734
2024-03-06,0.9984289484672052
2024-03-07,0.9984468990173017
2024-03-08,0.9976958183220423
2024-03-11,0.9464380192221433
2024-03-12,0.9987496829181648
2024-03-13,0.9986271765235623
2024-03-14,0.949287165429862
2024-03-15,0.9760658536511364
2024-03-18,0.9930742572078582
2024-03-19,0.9457898030744358
2024-03-20,0.9951343971073984
2024-03-21,0.9940925926391397
2024-03-22,0.9940548183233924
2024-03-25,0.9959570329086584
2024-03-26,0.9718548686117755
2024-03-27,0.9972068965427713
2024-03-28,0.9973277070932515
2024-04-01,0.9717762641535194
2024-04-02,0.972138593898673
2024-04-03,0.9754021010183644
2024-04-04,0.9548134354234181
2024-04-05,0.9685526470300065
2024-04-08,0.9969798746746392
2024-04-09,0.9711281255568547
2024-04-10,0.9731275716417335
2024-04-11,0.9285473794423842
2024-04-12,0.9005564077652849
2024-04-15,0.9117511826425254
2024-04-16,0.9029605851253383
2024-04-17,0.9207534060061938
2024-04-18,0.9976016787351292
2024-04-19,0.9224065228576424
2024-04-22,0.9742321610933043
2024-04-23,0.9956872627114375
2024-04-24,0.9252241472555864
2024-04-25,0.9978876541604151
2024-04-26,0.9084379104904086
2024-04-29,0.998764515761484
2024-04-30,0.9024353298426746
2024-05-01,0.973172378119924
2024-05-02,0.995980901501075
2024-05-03,0.9750149725829885
2024-05-06,0.9958247622275831
2024-05-07,0.9958372044409016
2024-05-08,0.9789773711030257
2024-05-09,0.9951895319616938
2024-05-10,0.9952006283336898
2024-05-13,0.9952070240129824
2024-05-14,0.9952238214589372
2024-05-15,0.9952553335306206
2024-05-16,0.9873791140810203
2024-05-17,0.9965046898292546
2024-05-20,0.9965078882288895
2024-05-21,0.9965086956829602
2024-05-22,0.9964863830355746
2024-05-23,0.996368973427391
2024-05-24,0.9956567148808988
2024-05-28,0.9778076188129636
2024-05-29,0.9957320396130165
2024-05-30,0.9280510807017484
2024-05-31,0.9435097064180915
2024-06-03,0.9994412550871482
2024-06-04,0.9993080679172903
2024-06-05,0.976979258515805
2024-06-06,0.9994280995987825
2024-06-07,0.9993801778929399
2024-06-10,0.9993802773825843
2024-06-11,0.9765761344781068
2024-06-12,0.9756270959921205
2024-06-13,0.9741462659953595
2024-06-14,0.9593028286037697
2024-06-17,0.9973242805615685
2024-06-18,0.9973417005318058
2024-06-20,0.9969048165085594
2024-06-21,0.9785191945155216
2024-06-24,0.9416116046332588
2024-06-25,0.9680828218012316
2024-06-26,0.9983237905842884
2024-06-27,0.9226421001918033
2024-06-28,0.9982886528156282
2024-07-01,0.9091693172905405
2024-07-02,0.9593100868878597
2024-07-03,0.9989428090616809
2024-07-05,0.9749444767150031
2024-07-08,0.9985858371703129
2024-07-09,0.9986261930828727
2024-07-10,0.9985019431448869
2024-07-11,0.9622834465185426
2024-07-12,0.9747439906564622
2024-07-15,0.9945191889961172
2024-07-16,0.9753681011313485
2024-07-17,0.9389366371688489
2024-07-18,0.9312188017581485
2024-07-19,0.8964763863607518
2024-07-22,0.9987162647329082
2024-07-23,0.94716827826883
2024-07-24,0.9249905388303079
2024-07-25,0.9581014589043377
2024-07-26,0.9505323519212265
2024-07-29,0.9974663802516393
2024-07-30,0.9979601518256958
2024-07-31,0.9979930644194177
2024-08-01,0.9979229660558311
2024-08-02,0.8650960723460412
2024-08-05,0.9219318259737259
2024-08-06,0.9981389317378205
2024-08-07,0.9959144163173492
2024-08-08,0.9973961537487339
2024-08-09,0.9974041605530404
2024-08-12,0.9973947692873258
2024-08-13,0.9974990476073572
2024-08-14,0.9975068661842779
2024-08-15,0.9975100617891941
2024-08-16,0.9979281125766274
2024-08-19,0.9979455115966334
2024-08-20,0.9979512393376371
2024-08-21,0.997967438652647
2024-08-22,0.9979701246780719
2024-08-23,0.9979763965032118
2024-08-26,0.9979860268498653
2024-08-27,0.9979909465217351
2024-08-28,0.9979823564348861
2024-08-29,0.9979933720448069
2024-08-30,0.9978923975109583
2024-09-03,0.9954264831818804
2024-09-04,0.9969650996010848
2024-09-05,0.9969431788311013
2024-09-06,0.9851200524511825
2024-09-09,0.9961008711688395
2024-09-10,0.9961118259172503
2024-09-11,0.9961008653884834
2024-09-12,0.9961344587144833
2024-09-13,0.9852917580280071
2024-09-16,0.9971602537357953
2024-09-17,0.9971493052497046
2024-09-18,0.9979416322028705
2024-09-19,0.9041613432083893
2024-09-20,0.9975868108161379
2024-09-23,0.9978695151846727
2024-09-24,0.9978749527482276
2024-09-25,0.9865207986468233
