entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
370.66,370.66,373.44,2.78,0.91,0.86,90.51,187.97,-90.51,-4.46,-4.9,BARS_STOP,10,4,CEG,2025-10-20 19:15:00+00:00,1.86,24.9,370.75,372.66,-0.5838,-0.648,38.2,"RSI=24.9, Close=$370.75 < KC_Lower=$372.66",2025-10-21 15:15:00+00:00
388.0,388.0,390.69,2.69,0.87,0.85,87.44,181.61,-87.44,-2.44,-2.8,BARS_STOP,10,7,CEG,2025-10-31 13:30:00+00:00,1.79,24.0,382.41,386.17,-0.617,-0.3876,42.6,"RSI=24.0, Close=$382.41 < KC_Lower=$386.17",2025-10-31 16:00:00+00:00
377.58,377.58,380.3,2.72,0.88,0.86,88.32,183.43,-88.32,-2.46,-2.8,BARS_STOP,10,7,CEG,2025-10-31 16:30:00+00:00,1.81,24.5,377.36,380.18,-0.5975,-0.4437,36.9,"RSI=24.5, Close=$377.36 < KC_Lower=$380.18",2025-10-31 19:00:00+00:00
253.22,253.22,255.79,2.58,0.84,3.41,83.71,173.86,-83.71,173.86,207.7,MAX_PROFIT,1,9,FSLR,2025-12-03 15:15:00+00:00,1.72,20.2,253.16,258.01,-0.8084,-0.2418,29.4,"RSI=20.2, Close=$253.16 < KC_Lower=$258.01",2025-12-03 15:30:00+00:00
532.4,532.4,536.71,4.31,1.4,5.71,140.13,291.04,-140.13,291.04,207.7,MAX_PROFIT,1,8,CRWD,2025-11-13 14:45:00+00:00,2.87,17.6,531.35,541.48,-0.7698,-0.4034,13.9,"RSI=17.6, Close=$531.35 < KC_Lower=$541.48",2025-11-13 15:00:00+00:00
520.95,520.95,524.75,3.8,1.23,1.15,123.42,256.34,-123.42,-8.18,-6.6,BARS_STOP,10,3,CRWD,2025-11-18 14:45:00+00:00,2.53,24.2,521.15,526.26,-0.6111,-0.5726,27.0,"RSI=24.2, Close=$521.15 < KC_Lower=$526.26",2025-11-18 17:15:00+00:00
137.11,137.11,140.3,3.19,1.04,4.2,103.75,215.48,-103.75,215.48,207.7,MAX_PROFIT,1,3,ANET,2025-10-14 13:45:00+00:00,2.13,20.2,137.36,144.25,-0.5923,-0.4772,38.5,"RSI=20.2, Close=$137.36 < KC_Lower=$144.25",2025-10-14 14:00:00+00:00
143.66,143.66,146.46,2.8,0.91,3.13,91.04,189.09,-91.04,189.09,207.7,MAX_PROFIT,1,9,ANET,2025-11-05 15:30:00+00:00,1.87,18.0,143.62,147.02,-0.8949,-0.4341,45.7,"RSI=18.0, Close=$143.62 < KC_Lower=$147.02",2025-11-05 15:45:00+00:00
144.27,144.27,146.99,2.72,0.88,0.87,88.48,183.76,-88.48,-1.91,-2.2,BARS_STOP,10,9,ANET,2025-11-05 16:00:00+00:00,1.81,24.1,144.37,146.01,-0.6248,-0.5101,47.4,"RSI=24.1, Close=$144.37 < KC_Lower=$146.01",2025-11-05 18:30:00+00:00
138.01,138.01,140.22,2.21,0.72,0.7,71.66,148.84,-71.66,-1.74,-2.4,BARS_STOP,10,8,ANET,2025-11-06 14:45:00+00:00,1.47,22.9,137.84,139.71,-0.3415,-0.2236,52.8,"RSI=22.9, Close=$137.84 < KC_Lower=$139.71",2025-11-06 17:15:00+00:00
166.22,166.22,168.35,2.13,0.69,0.67,69.26,143.84,-69.26,-1.93,-2.8,BARS_STOP,10,7,BABA,2025-10-10 15:15:00+00:00,1.42,19.0,166.21,169.15,-0.326,-0.1599,98.1,"RSI=19.0, Close=$166.21 < KC_Lower=$169.15",2025-10-10 17:45:00+00:00
